IDEvento;DSEvento
163;REQ PESQ/TORNA S/EFEITO ARQUIVAMENTO PROCESSO PUBL
164;REQ PESQ/PED RECON IND PROR EXIG NEGADO PUBL
165;REQ PESQ/OPÇÃO REGIME LICENCIAMENTO INDEFERIDA PUBL
166;REQ PESQ/INDEFERIMENTO ART 20 PAR 6 RCM PUBL
167;REQ LAV/CESSÃO-INCORP REQUERIMENTO LAV PUBL
168;REQ PESQ/INDEFERIMENTO INCISO 7º PORT 50/1998 PUBL
169;AUT PESQ/ÁREA BLOQUEADA ART 42 CM PUBL
170;REQ PESQ/INDEFERIMENTO MOTIVO DIVERSO PUBL
171;REQ PESQ/ÁREA BLOQUEADA ART 42 CM PUBL
172;REQ PESQ/ÁREA BLOQUEADA - INUNDAÇÃO PUBL
173;REQ PESQ/INDEFERIMENTO ÁREA EM PARQUE NAC EST MUN PUBL
174;REQ PESQ/INDEFERIMENTO DE PLANO ART 1 LEI 6567/78 PUBL
175;AUT PESQ/TRANSF DIREITOS-CESSÃO PARCIAL APROVADA PUBL
176;AUT PESQ/ALVARÁ PESQUISA PROVENIENTE CESSÃO PARCIAL PUBL
177;AUT PESQ/TORNA S/EFEITO ARQUIVAMENTO RELATÓRIO PESQUISA PUBL
178;AUT PESQ/TAH - NOTIFICAÇÃO ADMINISTRATIVA PGTO DÉBITO PUBL
179;NOTIFICAÇÃO DÉBITO CFEM (NFLDP) PUBL
180;REQ PESQ/PEDIDO RECONSIDERAÇÃO PROTOC
181;REQ PESQ/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
182;REQ PESQ/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
183;REQ PESQ/TORNA S/EFEITO RECONSIDERAÇÃO INDEFERIMENTO PUBL
184;REQ PESQ/TORNA S/EFEITO DESPACHO NEGA RECONSIDERAÇÃO PUBL
185;REQ PESQ/RECURSO AO MINISTRO PROTOC
186;AUT PESQ/OPÇÃO REGIME LICENCIAMENTO INDEFERIDA PUBL
187;REQ PESQ/RECURSO NEGADO PUBL
188;REQ PESQ/RECURSO PROVIDO PUBL
189;REQ LAV/TORNA S/EFEITO DESPACHO CADUCIDADE DIR REQ LAV PUBL
190;AUT PESQ/TORNA S/EFEITO INST PROC CADUC/NULID ALVARÁ PUBL
191;AUT PESQ/TORNA S/EFEITO DESP NÃO APROVAÇÃO RELATÓRIO PUBL
192;AUT PESQ/TORNA S/EFEITO DESPACHO PUBL
193;AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL NEGADA PUBL
194;AUT PESQ/TRANSF DIREITOS-CESSÃO PARCIAL NEGADA PUBL
195;AUT PESQ/TORNA S/EFEITO DESP PRORROGAÇÃO PRAZO ALVARÁ PUBL
196;AUT PESQ/TORNA S/EFEITO DESP APROVAÇÃO RELATÓRIO PUBL
197;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-INDEFERIDO PUBL
198;AUT PESQ/OPÇÃO REGIME LICENCIAMENTO PROTOC
199;AUT PESQ/TORNA S/EFEITO EXIGÊNCIA PUBL
200;AUT PESQ/REDUÇÃO DE AREA ART 26 PUBL
201;AUT PESQ/ALVARÁ DE PESQUISA PUBL
202;AUT PESQ/OFÍCIO ENCAMINHA AUTO INFRAÇÃO
203;AUT PESQ/AREA LIVRE 30 DIAS APÓS PUBLICAÇÃO:
204;AUT PESQ/ACORDO C/SUPERFICIÁRIO PROTOC
205;AUT PESQ/OFÍCIO ENCAMINHA IMPOSIÇÃO MULTA
206;AUT PESQ/EMOLUMENTOS P/RENOV ALVARA PAGO PROTOC
207;AUT PESQ/OFÍCIO AO JUIZ ENVIADO
208;AUT PESQ/INGRESSO JUDICIAL NA ÁREA PROTOC
209;AUT PESQ/INÍCIO DE PESQUISA COMUNICADO PROTOC
210;REQ PESQ/PLANO ÚNICO PESQUISA PROTOC
211;REQ PESQ/PLANO ÚNICO PESQUISA APROVADO PUBL
212;REQ PESQ/PLANO ÚNICO PESQUISA NÃO APROVADO PUBL
213;AUT PESQ/SUSPENSAO TRAB PESQ PROTOC
214;AUT PESQ/COMUNICAÇÃO OCORRÊNCIA OUTRA SUBSTÂNCIA PROTOC
215;AUT PESQ/VISTORIA REALIZADA -REEMBOLSO PROTOC
216;AUT PESQ/VISTORIA IN LOCO TRABALHO PESQUISA REALIZADA
217;AUT PESQ/VISTORIA IN LOCO TRABALHO PESQUISA NÃO INICIADO
218;AUT PESQ/VISTORIA IN LOCO TRABALHO PESQUISA IRREGULAR
219;AUT PESQ/SUSPENSAO TRAB PESQ AUTORIZ PUBL
220;AUT PESQ/INTERDIÇÃO TRABALHO PESQUISA APLICADA
221;AUT PESQ/AUTO ADVERTÊNCIA PUBL
222;AUT PESQ/ADVERTÊNCIA APLICADA PUBL
223;AUT PESQ/CONVITE PAG TAXA RENOV ALV PUBL
224;AUT PESQ/AUTO INFRAÇÃO PUBL
225;AUT PESQ/MULTA APLICADA PUBL
226;AUT PESQ/SEGUNDA IMPOSICAO DE MULTA PUBL
227;AUT PESQ/PAGAMENTO MULTA EFETUADO
228;AUT PESQ/AUTO INFRAÇÃO SOLICITA ANULAÇÃO PROTOC
229;AUT PESQ/COBRANCA JUDICIAL DE MULTA
230;AUT PESQ/AUTO INFRAÇÃO ARQUIVADO PUBL
231;AUT PESQ/DENÚNCIA CONTRA TITULAR DE PESQUISA PROTOC
232;AUT PESQ/DENÚNCIA IMPROCEDENTE PUBL
233;AUT PESQ/DENÚNCIA PROCEDENTE PUBL
234;AUT PESQ/SUSPENSAO TRAB PESQ NEGADA PUBL
235;AUT PESQ/PAGAMENTO TAXA ALVARA RENOV PROTOC
236;AUT PESQ/DOCUMENTO DIVERSO PROTOC
237;AUT PESQ/INSTAURA PROC ADM CADUC/NULID ALVARÁ PESQUISA PUBL
238;AUT PESQ/ARQUIVAMENTO PROC ADM CADUC/NULID ALVARÁ PUBL
239;AUT PESQ/DENÚNCIA INVASÃO DA ÁREA PROTOC
