IDEvento;DSEvento
444;CONC LAV/DESINTERDIÇÃO LAVRA AUTORIZADA PUBL
445;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA 3 ANOS PUBL
446;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA 4 ANOS PUBL
447;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA MAIS DE 4 ANOS PUBL
448;CONC LAV/RÓTULO ÁGUA MINERAL PROTOC
449;CONC LAV/ARRENDAMENTO TOTAL AVERBAÇÃO APROVADA PUBL
450;CONC LAV/ARRENDAMENTO TOTAL AVERBAÇÃO EFETIVADA
451;CONC LAV/TRANSF DIREITOS-CESSÃO TOTAL APROVADA MME PUBL
452;CONC LAV/TRANSF DIREITOS-CESSÃO TOTAL MME EFETIVADA
453;CONC LAV/TRANSF DIREITOS-CANCELAMENTO SOLICITAÇÃO PROTOC
454;CONC LAV/PEDIDO AVERBAÇÃO NEGADO PUBL
455;CONC LAV/ONERACAO DIREITOS LAVRA APROVADA PUBL
456;CONC LAV/ONERAÇÃO DIREITOS LAVRA AVERBADA
457;CONC LAV/ADVERTÊNCIA APLICADA PUBL
458;CONC LAV/PORTARIA ÁREA PROTEÇÃO DE FONTE PUBL
459;CONC LAV/AUTO INFRAÇÃO PUBL
460;CONC LAV/MULTA APLICADA PUBL
461;CONC LAV/PAGAMENTO MULTA EFETUADO
462;CONC LAV/AUTO INFRAÇÃO ARQUIVADO PUBL
463;CONC LAV/AUTO INFRAÇÃO SOLICITA ANULAÇÃO PROTOC
464;CONC LAV/ÁREA PROTEÇÃO DE FONTE NÃO AUTORIZADA PUBL
465;CONC LAV/TRANSF DIREITOS-CESSÃO TOTAL PROTOC
466;CONC LAV/DENÚNCIA CONTRA TITULAR DA LAVRA PROTOC
467;CONC LAV/DENUN CONTRA TITULAR LAV IMPROC PUBL
468;CONC LAV/DENUN CONTRA TITULAR LAV PROCED PUBL
469;CONC LAV/TRANSF DIREITOS-CESSÃO PARC (DESMEMBR) NEG MME PUBL
470;CONC LAV/EXIGÊNCIA PUBL
471;CONC LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
472;CONC LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
473;CONC LAV/CUMPRIMENTO EXIGÊNCIA PROTOC
474;CONC LAV/DEFESA PROTOC
475;CONC LAV/DEFESA ACEITA PUBL
476;CONC LAV/DEFESA NÃO ACEITA PUBL
477;CONC LAV/RECURSO PROTOC
478;CONC LAV/RECURSO PROVIDO PUBL
479;CONC LAV/RECURSO NEGADO PUBL
480;CONC LAV/RÓTULO ÁGUA MINERAL NÃO APROVADO PUBL
481;CONC LAV/GRUPAMENTO MINEIRO REQUERIMENTO PROTOC
482;CONC LAV/GRUPAMENTO MINEIRO AUTORIZADO PUBL
483;CONC LAV/GRUPAMENTO MINEIRO NÃO AUTORIZADO PUBL
484;CONC LAV/GRUPAMENTO MINEIRO INCLUSÃO ÁREA PROTOC
485;CONC LAV/GRUPAMENTO MINEIRO INCLUSÃO ÁREA PUBL
486;CONC LAV/GRUPAMENTO MINEIRO EXCLUSÃO ÁREA PROTOC
487;CONC LAV/GRUPAMENTO MINEIRO EXCLUSÃO ÁREA PUBL
488;CONC LAV/PORTARIA ENGLOBANDO OUTRO TÍTULO DE LAVRA MME PUBL
489;CONC LAV/TÍTULO ENGLOBADO POR OUTRA PORTARIA LAVRA MME PUBL
490;CONC LAV/INSTAURA PROC ADM CADUC/NULID CONCESSÃO LAVRA PUBL
491;CONC LAV/ARQUIVAMENTO PROC ADM CADUC/NULID CONCESSÃO PUBL
492;CONC LAV/ÁREA BLOQUEADA ART 42 CM-NÃO DISPON PESQ/LAV PUBL
493;CONC LAV/EDITAL DISPON P/LAVRA PUBL
494;CONC LAV/ARQUIVAMENTO DO PROCESSO ÁREA LIVRE PUBL
495;CONC LAV/PORTARIA RETIFICAÇÃO CONCESSÃO LAVRA MME PUBL
496;CONC LAV/PORTARIA NULIDADE CONCESSÃO DE LAVRA MME PUBL
497;MANIF/MANIFESTO MINA CANCELADO PUBL
498;CONC LAV/PORTARIA REVOGAÇÃO CONCESSÃO DE LAVRA MME PUBL
499;CONC LAV/PORTARIA CADUCIDADE CONCESSÃO LAVRA MME PUBL
500;CONC LAV/GRUPAMENTO MINEIRO INCLUSÃO ÁREA NEGADA PUBL
501;CONC LAV/ARRENDAMENTO RESCISÃO PROTOC
502;CONC LAV/ARRENDAMENTO RESCISÃO AVERBAÇÃO APROVADA PUBL
503;CONC LAV/ARRENDAMENTO RESCISÃO AVERBAÇÃO EFETIVADA
504;CONC LAV/ONERAÇÃO DIREITOS -CANCELADO PUBL
505;CONC LAV/ONERAÇÃO DIREITOS -CANCELAMENTO AVERBADO
506;CONC LAV/PORTARIA DESMEMBRADA EM OUTRAS MME PUBL
507;CONC LAV/PORTARIA DESMEMBRADA DE OUTRA MME PUBL
508;CONC LAV/DESPACHO DIVERSO PUBL
509;CONC LAV/CONSÓRCIO MINERAÇÃO REQUERIMENTO PROTOC
510;CONC LAV/CONSÓRCIO MINERAÇÃO NÃO AUTORIZADO PUBL
511;CONC LAV/CONSÓRCIO MINERAÇÃO AUTORIZADO PUBL
512;CONC LAV/GRUPAMENTO MINEIRO CONCESSÃO INTEGRANTE
513;PLG/PERMISSÃO LAVRA GARIMPEIRA PUBL
514;CONC LAV/CONSÓRCIO MINERAÇÃO INCLUSÃO ÁREA PUBL
515;CONC LAV/EXCLUSÃO PROCESSO ART 43 ADCT PUBL
516;CONC LAV/DENÚNCIA INVASÃO DA ÁREA PROTOC
517;CONC LAV/RELATORIO ART 43 ADCT PROTOC
518;CONC LAV/ÁREA LIVRE 30 DIAS APÓS PUBLICAÇÃO:
519;CONC LAV/VISTORIA REALIZADA -REEMBOLSO PROTOC
520;CONC LAV/GRUPAMENTO MINEIRO CANCELADO PUBL
521;PLG/RENOVAÇÃO DO PRAZO PLG PROTOC
522;PLG/RENOVAÇÃO DO PRAZO PLG INDEFERIDA PUBL
523;PLG/RENOVAÇÃO DO PRAZO PLG PUBL
524;PLG/ADITAMENTO NOVA SUBSTÂNCIA PROTOC
525;PLG/ADITAMENTO NOVA SUBSTÂNCIA AUTORIZADO PUBL
526;PLG/ADITAMENTO NOVA SUBSTÂNCIA NÃO AUTORIZADO PUBL
527;PLG/TRANSF DIREITOS-CESSÃO TOTAL NEGADA PUBL
528;PLG/TRANSF DIREITOS-CESSÃO PARCIAL NEGADA PUBL
529;PLG/BAIXA TRANSCRIÇÃO PLG
530;PLG/EXIGÊNCIA PUBL
531;PLG/CUMPRIMENTO EXIGÊNCIA PROTOC
532;PLG/PERMISSÃO LAVRA GARIMPEIRA CANCELADA PUBL
533;AUT PESQ/TRANSF DIREITOS-CESSÃO PARCIAL ANULADA PUBL
534;CONC LAV/GRUPAMENTO MINEIRO TORNA S/EFEITO CANCELAMENTO PUBL
535;CONC LAV/TORNA S/EFEITO MULTA APLICADA PUBL
536;CONC LAV/TRANSF DIREITOS-DISTRATO PROTOC
537;DISPONIB/TORNA S/EFEITO DECLARAÇÃO PRIOR EDITAL PESQU PUBL
538;REQ PESQ/INDEFERIMENTO DE PLANO ART 9 IN 05/2000 PUBL
539;CONC LAV/ARRENDAMENTO AVERBAÇÃO CANCELADA PUBL
540;AUT PESQ/TRANSF DIREITOS-CESSÃO PARCIAL EFETIVADA
541;AUT PESQ/RAL ANO BASE APRESENTADO
542;PLG/RAL ANO BASE APRESENTADO
543;CONC LAV/TORNA S/EFEITO APROV RELAT REAVALIAÇÃO RESERVA PUBL
544;AUT PESQ/TORNA S/EFEITO DESP NEGOU CESSÃO PARCIAL ALV PUBL
545;AUT PESQ/TRANSF DIREITOS-CESSÃO PARCIAL PROTOC
546;REQ LAV/TRANSF DIREITOS-CESSÃO PARCIAL REQ LAV PROTOC
549;TORNA S/EFEITO NOTIFICAÇÃO CFEM (NFLDP) PUBL
550;CONC LAV/TORNA S/EFEITO APROVAÇÃO MODIFICAÇÃO DE PAE PUBL
551;CONC LAV/TRANSF DIREITOS-CESSÃO DIREITOS CANCELADA MME PUBL
552;REQ PLG/CONTESTAÇÃO COOPERATIVA NÃO PROVIDA PUBL
553;REQ PLG/CONTESTAÇÃO COOPERATIVA PROVIDA PUBL
554;CONC LAV/RENÚNCIA CONCESSÃO LAVRA HOMOLOGADA PUBL
555;CONC LAV/ÁREA LIVRE A PARTIR DA PUBLICAÇÃO:
556;CONC LAV/TORNA S/EFEITO NOTIFICAÇÃO CFEM PUBL
557;CONC LAV/TRANSF DIREITOS-CESSÃO PARC (DESMEMBR) APR MME PUBL
558;CONC LAV/ARRENDAMENTO PARCIAL AVERBAÇÃO APROVADA PUBL
559;CONC LAV/ARRENDAMENTO PARCIAL AVERBAÇÃO EFETIVADA
560;REQ LAV/TORNA S/EFEITO EXIGÊNCIA PUBL
561;AUT PESQ/PRORROGAÇÃO PRAZO REQ LAVRA NEGADO PUBL
562;DISPONIB/RENÚNCIA HABILITAÇÃO DISP ART 26 PROTOC
563;DISPONIB/RENÚNCIA HABILITAÇÃO DISP ART 26 HOMOLOGAÇÃO PUBL
564;REQ LAV/TRANSF DIREITOS-CESSÃO DIREITOS ANULADA PUBL
565;REQ PLG/ARQUIVAMENTO PROCESSO PUBL
566;REQ LAV/TRANSF DIREITOS-CESSÃO PARCIAL REQ LAV APROVADA PUBL
567;REQ PLG/INDEFERIMENTO DE PLANO PUBL
568;REQ PLG/INDEFERIMENTO ART 4 PORT 284/2000 PUBL
569;REQ PLG/TORNA S/EFEITO EXIGÊNCIA PUBL
570;REQ PLG/CONTESTAÇÃO COOPERATIVA NÃO PROVIDA PUBL
571;PLG/TRANSF DIREITOS-CESSÃO TOTAL APROVADA PUBL
572;PLG/TRANSF DIREITOS-CESSÃO TOTAL EFETIVADA
573;REQ PLG/OPÇÃO REGIME AUTORIZAÇÃO PESQ PROTOC
574;REQ PLG/OPÇÃO REGIME AUTORIZAÇÃO PESQ INDEFERIDA PUBL
575;REQ PLG/TORNA S/EFEITO DESPACHO INDEFERIMENTO PUBL
576;PLG/AUTO INFRAÇÃO PUBL
577;PLG/MULTA APLICADA PUBL
578;PLG/PAGAMENTO MULTA EFETUADO
579;PLG/AUTO INFRAÇÃO SOLICITA ANULAÇÃO PROTOC
580;PLG/AUTO INFRAÇÃO ARQUIVADO PUBL
581;PLG/TORNA S/EFEITO A PERM LAVRA GARIMP PUBL
582;CONC LAV/ARRENDAMENTO TOTAL PROTOC
583;REQ LAV/TRANSF DIREITOS-CESSÃO PARCIAL REQ LAV EFETIVADA
584;PLG/TRANSF DIREITOS-CESSÃO TOTAL PROTOC
585;AUT PESQ/TAH - SOLICITAÇÃO PARCELAMENTO DÉBITO PROTOC
586;AUT PESQ/TAH - INDEFERIMENTO DE PLANO PEDIDO PARC DÉBITO
587;AUT PESQ/TAH - PARCELAMENTO DÉBITO DEFERIDO
588;AUT PESQ/TAH - PAGAMENTO PARCELA DÉBITO EFETUADO
589;REQ PLG/SOLICITA ANU PRÉVIA CESSÃO TOTAL PROTOC
590;REQ PLG/AVERBAÇÃO CESSÃO TOTAL EFETIVADA
591;REQ PLG/SOLICITA DISTRATO CESSÃO TOTAL PROTOC
592;PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
593;REQ LICEN/SOLICITA ANU PRÉVIA CESSÃO TOTAL PROTOC
594;REQ LICEN/AVERBAÇÃO CESSÃO TOTAL EFETIVADA
595;LICEN/TRANSF DIREITOS-CESSÃO TOTAL EFETIVADA
596;CONC LAV/ONERAÇÃO DIREITOS -PENHORA AUTORIZADO PUBL
597;CONC LAV/ONERAÇÃO DIREITOS -PENHORA AVERBADO
598;AUT PESQ/ONERAÇÃO DIREITOS -PENHORA AUTORIZADO PUBL
599;AUT PESQ/ONERAÇÃO DIREITOS -PENHORA AVERBADO
600;PLG/TRANSF DIREITOS-CESSÃO PARCIAL PROTOC
601;PLG/TRANSF DIREITOS-CESSÃO PARCIAL APROVADA PUBL
602;PLG/TRANSF DIREITOS-CESSÃO PARCIAL EFETIVADA
603;REQ LAV/TRANSF DIREITOS-CESSÃO PARCIAL REQ LAV NEGADA PUBL
604;CONC LAV/ARRENDAMENTO PARCIAL PROTOC
605;CONC LAV/ARRENDAMENTO PARCIAL AVERBAÇÃO NEGADA PUBL
606;REQ PLG/INDEFERIMENTO ART 6 PORT 284/2000 PUBL
607;DISPONIB/DESISTÊNCIA HABIL EDITAL DISP PESQ HOMOLOGADA PUBL
608;CONC LAV/TORNA S/EFEITO AUTO INFRAÇÃO PUBL
609;REQ LAV/ONERAÇÃO DIREITOS LAVRA PROTOC
610;REQ LAV/ONERAÇÃO DIREITOS LAVRA APROVADA PUBL
611;REQ LAV/ONERAÇÃO DIREITOS LAVRA AVERBADA
612;REQ PLG/DESISTÊNCIA REQUERIMENTO PLG PROTOC
613;REQ PLG/DESISTÊNCIA REQUERIMENTO PLG HOMOLOGADA PUBL
614;AUT PESQ/TAH - TAXA PAGA A MENOR
615;REQ LAV/LIBERAÇÃO ONERAÇÃO DIREITOS LAVRA PUBL
616;REQ LAV/LIBERAÇÃO ONERAÇÃO DIREITOS LAVRA AVERBADA
617;REQ PESQ/INDEFERE OPÇÃO REQ LICENÇA PUBL
618;REQ PESQ/PROCESSO SITUADO EM ÁREA BLOQUEADA
619;REQ PESQ/PROCESSO SITUADO EM ÁREA INDÍGENA
620;AUT PESQ/ÁREA PROTEÇÃO DE FONTE SOLICITAÇÃO PROTOC
621;AUT PESQ/LICENÇA AMBIENTAL OPERAÇÃO PROTOC
622;AUT PESQ/LICENÇA AMBIENTAL INSTALAÇÃO PROTOC
623;AUT PESQ/GUIA UTILIZAÇÃO RENOVAÇÃO PROTOC
624;REQ LAV/GUIA UTILIZAÇÃO REQUERIMENTO PROTOC
625;REQ LAV/GUIA UTILIZAÇÃO AUTORIZADA PUBL
626;REQ LAV/GUIA UTILIZAÇÃO INDEFERIDA PUBL
627;CONC LAV/TRANSF DIREITOS-CESSÃO PARCIAL (DESMEMBR) PROTOC
628;CONC LAV/TRANSF DIREITOS-CESSÃO PARC (DESMEMBR) MME EFETIV
629;REQ PESQ/ASSENTIMENTO CDN/CESSÃO DIREITOS AUTORIZADO
630;AUT PESQ/ASSENTIMENTO CDN/CESSÃO DIREITOS AUTORIZADO
631;REQ LAV/ASSENTIMENTO CDN/CESSÃO DIREITOS AUTORIZADO
632;CONC LAV/ASSENTIMENTO CDN/CESSÃO DIREITOS AUTORIZADO
633;CONC LAV/TORNA S/EFEITO INST PROC CADUC/NULID CONCESSÃO PUBL
634;AUT PESQ/TAH - COMPLEMENTAÇÃO PGTO EFETUADO
635;AUT PESQ/TAH - AUTO INFRAÇÃO PUBL
636;AUT PESQ/TAH - TORNA S/EFEITO AUTO INFRAÇÃO PUBL
637;AUT PESQ/TAH - ARQUIVAMENTO AUTO INFRAÇÃO PUBL
638;AUT PESQ/AUTO INFRAÇÃO - RELATÓRIO PESQ NÃO ENTR PUBL
639;AUT PESQ/TORNA S/EFEITO AUTO INFRAÇÃO-REL PESQ NÃO ENTR PUBL
640;AUT PESQ/AUTO INFRAÇÃO ARQUIVADO - REL PESQ NÃO ENTR PUBL
641;AUT PESQ/TAH - MULTA APLICADA PUBL
642;AUT PESQ/TAH - PAGAMENTO MULTA EFETUADO
643;AUT PESQ/TAH - TORNA S/EFEITO MULTA APLICADA PUBL
644;AUT PESQ/MULTA APLICADA-RELATÓRIO PESQUISA NÃO ENTR PUBL
645;AUT PESQ/PAGAMENTO MULTA EFETUADO-REL PESQ NÃO ENTR
646;AUT PESQ/TORNA S/EFEITO MULTA APLIC-REL PESQ NÃO ENTR PUBL
647;AUT PESQ/TAH - INSTAURA PROC ADM CADUCIDADE ALVARÁ PUBL
648;AUT PESQ/TAH - TORNA S/EFEITO PROC ADM CADUCIDADE ALV PUBL
649;AUT PESQ/TAH - ARQUIVAMENTO PROC ADM CADUCIDADE ALV PUBL
650;AUT PESQ/TAH - DECLARAÇÃO CADUCIDADE ALVARÁ PESQUISA PUBL
651;AUT PESQ/TAH - TORNA S/EFEITO CADUCIDADE ALVARÁ PUBL
652;AUT PESQ/TAH - SOLICITAÇÃO DEVOLUÇÃO PAGAMENTO PROTOC
653;AUT PESQ/TAH - DEVOLUÇÃO PAGAMENTO EFETUADA
654;AUT PESQ/TAH - PARCELAMENTO QUITADO
655;AUT PESQ/TAH - NOTIFICAÇÃO ADM II PGTO DÉBITO PUBL
656;AUT PESQ/TAH - TORNA S/EFEITO NOTIF ADM II PGTO DÉBITO PUBL
657;CONC LAV/TORNA S/EFEITO DESPACHO PUBL
658;LICEN/INSTAURA PROC ADM CANCELAMENTO REGISTRO LICENÇA PUBL
659;CONC LAV/TORNA S/EFEITO EXIGÊNCIA PUBL
660;AUT PESQ/PRORROGAÇÃO PRAZO REQ LAVRA SOLICITAÇÃO PROTOC
661;CONC LAV/IMISSÃO DE POSSE COMPROV PAGTO EMOLUMENTOS PROTOC
662;NOTIFICAÇÃO ADM PGTO DÉBITO MULTA PUBL
663;PARCELAMENTO DÉBITO MULTA SOLICITAÇÃO PROTOC
664;PARCELAMENTO DÉBITO MULTA INDEFERIDO
665;PARCELAMENTO DÉBITO MULTA DEFERIDO
666;PAGAMENTO PARCELA DÉBITO MULTA EFETUADO
667;PARCELAMENTO DÉBITO MULTA QUITADO
668;DEVOLUÇÃO PAGAMENTO MULTA SOLICITAÇÃO PROTOC
669;DEVOLUÇÃO PAGAMENTO MULTA EFETUADA
670;DEVOLUÇÃO PAGAMENTO MULTA NEGADA
671;PLG/DESPACHO RETIFICAÇÃO PLG PUBL
672;PARCELAMENTO DÉBITO CFEM SOLICITAÇÃO PROTOC
673;PARCELAMENTO DÉBITO CFEM INDEFERIDO
674;PARCELAMENTO DÉBITO CFEM DEFERIDO PUBL
675;PARCELAMENTO DÉBITO CFEM QUITADO
676;LICENÇA AMBIENTAL PROTOC
677;DISPONIB/ÁREA DISPONIBILIDADE PARA PLG - EDITAL PUBL
678;CASSAÇÃO ANUENCIA PRÉVIA CESSÃO DIREITOS PUBL
679;MANIF JAZ/REGISTRO MANIFESTO DE MINA SOLICITADO
680;MANIF/MANIFESTO DE MINA REGISTRADO
681;AUT PESQ/RELATÓRIO FINAL PESQUISA ANALISADO
682;REQ LAV/PAE ANALISADO
683;AUT PESQ/ONERAÇÃO DIREITOS -PENHORA CANCELADA PUBL
684;AUT PESQ/ONERAÇÃO DIREITOS -PENHORA CANCELAMENTO AVERBADO
685;CONC LAV/ONERAÇÃO DIREITOS -PENHORA CANCELADA PUBL
686;CONC LAV/ONERAÇÃO DIREITOS -PENHORA CANCELAMENTO AVERBADO
687;NOTIFICAÇÃO ADM PAGAMENTO DÉBITO VISTORIA PUBL
688;AUT PESQ/OPÇÃO REGIME PERM LAVRA GARIMPEIRA PROTOC
689;REQ LAV/NOTIFICAÇÃO RECOLHIMENTO CFEM PUBL
690;PAGAMENTO EMOLUMENTOS CESSÃO TOTAL DIREITOS PROTOC
691;PAGAMENTO EMOLUMENTOS CESSÃO PARCIAL DIREITOS PROTOC
692;PAGAMENTO EMOLUMENTOS INCORP FUSÃO CISÃO EMPRESA PROTOC
693;PAGAMENTO EMOLUMENTOS DEMAIS ATOS AVERBAÇÃO PROTOC
694;PAGAMENTO VISTORIA FISCALIZAÇÃO EFETUADO
695;REQ LAV/TORNA S/EFEITO DESPACHO INDEFERIMENTO REQ LAV PUBL
696;CONC LAV/TORNA S/EFEITO CADUCIDADE CONCESSÃO LAVRA MME PUBL
698;MANIF/DECLARAÇÃO NULIDADE MANIFESTO DE MINA PUBL
699;MANIF/DECLARAÇÃO CADUCIDADE MANIFESTO DE MINA PUBL
700;REQ LICEN/REQUERIMENTO LICENCIAMENTO PROTOC
701;REQ LICEN/INDEFERIMENTO ART 7 IN 01/2001 PUBL
702;LICEN/INDEFERE RENOVAÇÃO ART 22 IN 01/2001 PUBL
703;REQ LICEN/INDEFERIMENTO ART 6 IN 01/2001 PUBL
704;LICEN/REGISTRO DE LICENÇA CANCELADO PUBL
705;LICEN/BAIXA TRANSCRIÇÃO LICENCIAMENTO
706;LICEN/PLANO APROVEITAMENTO ECONÔMICO PROTOC
707;LICEN/PLANO APROVEITAMENTO ECONÔMICO APROVADO PUBL
708;PLG/RENÚNCIA PLG PROTOC
709;PLG/RENÚNCIA PLG HOMOLOGADA PUBL
710;LICEN/CONSULTA ORGAOS DIVERS ENCAMINHADA
711;LICEN/ASSENT ORGAOS DIVERS AUTORIZADO
712;LICEN/ASSENT ORGAOS DIVERS NAO AUTORIZAD
713;PLG/PERMISSÃO LAVRA GARIMPEIRA DECLARADA NULA PUBL
714;PLG/DECLARA CADUCIDADE PLG PUBL
715;PLG/INSTAURA PROCESSO DE CADUCIDADE PLG PUBL
718;LICEN/EXIGÊNCIA PUBL - PRAZO 30 DIAS
719;LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
720;LICEN/CUMPRIMENTO EXIGÊNCIA PROTOC
721;REQ LICEN/INDEFERIMENTO NÃO CUMPRIMENTO EXIGENCIA PUBL
722;LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
723;LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
730;LICEN/REGISTRO DE LICENÇA AUTORIZADO PUBL
736;LICEN/DOCUMENTO DIVERSO PROTOC
737;LICEN/ARREND DIREITO LICENCIAMENTO PROTOC
738;REQ LICEN/INDEFERIMENTO ART 18 CM PUBL
739;REQ LICEN/INDEFERIMENTO LIMINAR ART 1 LEI 6567/78 PUBL
740;LICEN/INDEFERIMENTO PUBL
741;LICEN/DESPACHO RETIFICAÇÃO REGISTRO DE LICENÇA PUBL
742;LICEN/PRORROGAÇÃO REGISTRO LICENÇA AUTORIZADA PUBL
743;LICEN/REEMBOLSO VISTORIA REALIZADA PROTOC
744;LICEN/PRORROGAÇÃO REGISTRO LICENÇA INDEFERIDA PUBL
745;LICEN/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
746;LICEN/PEDIDO RECONSIDERAÇÃO PROTOC
747;LICEN/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
748;LICEN/TRANSF DIREITOS-CESSÃO TOTAL PROTOC
749;LICEN/TRANSF DIREITOS-CESSÃO TOTAL APROVADA PUBL
750;LICEN/TRANSF DIREITOS-CESSÃO TOTAL NEGADA PUBL
751;LICEN/BAIXA TRANSCRIÇÃO REGISTRO LICENÇA ESGOTADO PRAZO
752;LICEN/ARREND DIREITO LICENC APROVADO PUBL
753;LICEN/RECURSO AO MINISTRO PROTOC
754;LICEN/RECURSO PROVIDO PUBL
755;LICEN/PRORROGAÇÃO REGISTRO LICENÇA PROTOC
756;LICEN/DESPACHO DIVERSO PUBL
757;LICEN/RECURSO NEGADO PUBL
758;LICEN/TORNA S/EFEITO NOTIFICAÇÃO CFEM PUBL
759;LICEN/RAL ANOS ANTERIORES APRESENTADO
760;LICEN/RAL ANO BASE APRESENTADO
761;LICEN/AUTO INFRAÇÃO PUBL
762;LICEN/AUTO INFRAÇÃO ARQUIVADO PUBL
763;LICEN/RELATORIO ART 43 ADCT PROTOC
764;LICEN/NEGA ANUÊNCIA CESSÃO TOTAL PUBL
765;LICEN/TRANSF DIREITOS-CESSÃO PARCIAL NEGADA PUBL
766;LICEN/TORNA S/EFEITO EXIGÊNCIA PUBL
767;LICEN/TORNA S/EFEITO BAIXA TRANSCRIÇÃO LICENCIAMENTO PUBL
768;LICEN/TORNA S/EFEITO PRORROGAÇÃO REGISTRO LICENÇA PUBL
769;LICEN/TORNA S/EFEITO DESPACHO INDEFERIMENTO PUBL
770;LICEN/ADITAMENTO NOVA SUBSTÂNCIA AUTORIZADO PUBL
771;LICEN/TORNA S/EFEITO LICENCIAMENTO PUBL
772;LICEN/NOTIFICAÇÃO RECOLHIMENTO CFEM PUBL
773;LICEN/MULTA APLICADA PUBL
774;LICEN/ADVERTÊNCIA APLICADA PUBL
775;LICEN/DENÚNCIA INVASÃO DA ÁREA PROTOC
776;LICEN/TRANSF DIREITOS-CESSÃO PARCIAL APROVADA PUBL
777;LICEN/TORNA S/EFEITO DESPACHO NEGA RECONSIDERAÇÃO PUBL
778;REQ LICEN/INDEFERIMENTO DE PLANO ART 9 IN 05/2000 PUBL
779;LICEN/DENÚNCIA C/TIT REG LIC IMPROCEDENTE PUBL
780;REQ LICEN/DESISTÊNCIA REQU LICENCIAMENTO PROTOC
781;LICEN/ARQUIVAMENTO PROCESSO PUBL
782;LICEN/ÁREA BLOQUEADA ART 42 CM PUBL
783;REQ LICEN/DESISTÊNCIA REQU LICENCIAMENTO HOMOLOGADA PUBL
784;LICEN/RENÚNCIA LICENCIAMENTO HOMOLOGADA PUBL
785;LICEN/TORNO S/EFEI HOMOL DES REQ REG LIC PUBL
786;LICEN/ONERAÇÃO DIREITOS -PENHOR AVERBADO
787;LICEN/ENGLOBAMENTO DE ÁREAS PROTOC
788;LICEN/ENGLOBAMENTO DE ÁREAS AUTORIZADO PUBL
789;REQ LICEN/CESSÃO TOTAL REQ REGISTRO LICEN PUBL
790;LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ PROTOC
791;LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ INDEFERIDA PUBL
793;REQ PLG/DOCUMENTO DIVERSO PROTOC
794;AUT PESQ/RELATÓRIO FINAL PESQUISA POSITIVO PROTOC
795;AUT PESQ/RELATÓRIO FINAL PESQUISA NEGATIVO PROTOC
796;LICEN/TORNA S/EFEITO CANCELAMENTO LICENCIAMENTO PUBL
797;LICEN/TORNA S/EFEITO LICENCIAMENTO ART 43 ADCT PUBL
798;LICEN/ÁREA LIVRE 30 DIAS APOS PUBLICAÇÃO
799;LICEN/CANCELAMENTO LICENCIAMENTO PUBL
800;ART 43 ADCT - RELACIONADO P/ DISTRITOS:
801;ART 43 ADCT - ÁREA LIVRE DATA DA PUBLICAÇÃO:
802;REQ LAV/TRANSF DIREITO -CESSÃO PARCIAL DIR REQ LAV NEG PUBL
803;AUTO DE PARALISAÇÃO LAVRADO
805;PLG/OPÇÃO REGIME AUTORIZAÇÃO PESQ PROTOC
806;REQ LAV/AUTO INFRAÇÃO PUBL
807;REQ LAV/AUTO INFRAÇÃO ARQUIVADO PUBL
808;REQ LAV/DEFESA PROTOC
809;REQ LAV/DEFESA ACEITA PUBL
810;REQ LAV/DEFESA NÃO ACEITA PUBL
811;REQ LAV/MULTA APLICADA PUBL
812;REQ LAV/PAGAMENTO MULTA EFETUADO
813;REQ LAV/TORNA S/EFEITO MULTA APLICADA PUBL
820;REQ EXT/REQUERIMENTO REGISTRO EXTRAÇÃO PROTOC
821;REQ EXT/INDEFERIMENTO DE PLANO PUBL
822;REQ EXT/INDEFERIMENTO P/INTERFERÊNCIA TOTAL PUBL
823;REQ EXT/INDEFERIMENTO ÁREA EM PARQUE NAC EST OU MUN PUBL
824;REQ EXT/INDEFERIMENTO ÁREA EM RESERVA BIOLÓGICA PUBL
825;REQ EXT/EXIGÊNCIA PUBL - PRAZO 30 DIAS
826;REQ EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
827;REQ EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
828;REQ EXT/TORNA S/EFEITO EXIGÊNCIA PUBL
829;REQ EXT/CUMPRIMENTO EXIGÊNCIA PROTOC
830;REQ EXT/INDEFERIMENTO P/NÃO CUMPRIMENTO DE EXIGÊNCIA PUBL
831;REQ EXT/PEDIDO RECONSIDERAÇÃO PROTOC
832;REQ EXT/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
