DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
833.747/2010;300.390/2023;8;2023-04-26;;*
833.748/2006;302.947/2015;8;2015-11-19;;*
833.748/2006;302.948/2015;8;2015-11-19;;*
833.748/2006;302.949/2015;8;2015-11-19;;*
833.748/2006;302.950/2015;8;2015-11-19;;*
833.748/2006;832.419/2011;5;2016-10-19;;*
833.748/2008;831.114/2018;8;2018-06-26;;*
833.749/2004;300.762/2019;8;2019-09-05;;*
833.749/2010;300.393/2023;8;2023-04-28;;*
833.752/2004;833.041/2013;8;2013-10-07;;*
833.752/2010;300.377/2023;8;2023-04-24;;*
833.753/2006;302.319/2015;8;2015-05-22;;*
833.754/2008;300.303/2023;8;2023-03-28;;*
833.757/2004;300.809/2020;8;2020-08-14;;*
833.757/2004;300.810/2020;8;2020-08-14;;*
833.760/1993;830.967/2011;8;2011-04-01;;*
833.806/1994;830.181/2009;2;2009-01-30;;*
833.806/1994;834.836/2008;2;2008-12-23;;*
833.806/2011;300.575/2018;8;2018-06-11;;*
833.806/2011;832.618/2015;2;2015-10-06;;*
833.807/2006;300.942/2012;8;2012-10-16;;*
833.808/1993;300.590/2014;8;2014-08-25;;*
833.808/1993;300.591/2014;8;2014-08-25;;*
833.809/2008;300.155/2014;8;2014-03-12;;*
833.809/2012;300.702/2020;8;2020-07-12;;*
833.810/2006;300.328/2014;8;2014-05-26;;*
833.810/2012;830.150/2015;9;2015-01-26;;*
833.811/2011;832.052/2017;8;2017-12-12;;*
833.812/2010;831.115/2018;8;2018-06-26;;*
833.814/2007;831.646/2013;8;2013-06-11;;*
833.814/2010;301.155/2016;8;2016-11-24;;*
833.814/2010;301.156/2016;8;2016-11-24;;*
833.815/2013;830.095/2016;9;2016-01-21;;*
833.816/2012;830.611/2025;9;2025-04-14;;*
833.817/2004;300.685/2011;8;2011-08-03;;*
833.818/2010;300.238/2019;8;2019-04-10;;*
833.819/2013;300.490/2020;8;2020-04-30;;*
833.821/2012;300.364/2018;8;2018-04-06;;*
833.822/2004;832.662/2024;8;2024-12-10;;*
833.825/2004;830.463/2012;8;2012-02-24;;*
833.827/2010;831.991/2021;8;2021-08-27;;*
833.827/2012;300.203/2019;8;2019-04-01;;*
833.827/2012;300.204/2019;8;2019-04-01;;*
833.830/2011;830.444/2017;8;2017-03-23;;*
833.831/2012;300.776/2021;8;2021-07-29;;*
833.832/2004;303.176/2018;8;2018-10-10;;*
833.834/2008;300.219/2024;8;2024-03-19;;*
833.834/2008;300.220/2024;8;2024-03-19;;*
833.834/2008;300.221/2024;8;2024-03-19;;*
833.835/2004;300.132/2011;8;2011-02-18;;*
833.835/2012;300.973/2022;8;2022-08-22;;*
833.837/2004;300.135/2011;8;2011-02-18;;*
833.838/2004;300.347/2011;8;2011-04-18;;*
833.838/2008;300.761/2024;8;2024-09-03;;*
833.839/2012;832.580/2016;8;2016-11-22;;*
833.839/2013;833.274/2015;2;2015-12-23;;*
833.843/2010;830.414/2017;8;2017-03-20;;*
833.844/2012;300.723/2016;8;2016-08-03;;*
833.844/2012;830.428/2016;9;2016-03-03;;*
833.845/2004;300.712/2010;8;2010-07-15;;*
833.846/1994;830.214/2011;8;2011-01-28;;*
833.847/2008;300.844/2020;8;2020-08-31;;*
833.849/2010;832.310/2015;8;2015-09-02;;*
833.850/2011;300.107/2018;8;2018-02-02;;*
833.851/2006;832.026/2011;8;2011-05-31;;*
833.851/2010;301.169/2020;8;2020-11-23;;*
833.851/2010;301.170/2020;8;2020-11-23;;*
833.851/2011;300.967/2016;8;2016-10-05;;*
833.854/2011;833.054/2012;9;2012-09-28;;*
833.856/2006;300.051/2015;8;2015-01-21;;*
833.856/2006;300.052/2015;8;2015-01-21;;*
833.857/2007;301.271/2011;8;2011-12-12;;*
833.857/2008;833.672/2012;8;2012-10-31;;*
833.857/2011;300.746/2016;8;2016-08-11;;*
833.857/2013;832.277/2022;8;2022-10-15;;*
833.859/2006;300.212/2024;8;2024-03-15;;*
833.859/2011;832.604/2014;8;2014-09-16;;*
833.860/2006;300.323/2014;8;2014-05-23;;*
833.860/2012;300.662/2017;8;2017-07-12;;*
833.860/2012;830.717/2017;9;2017-04-27;;*
833.860/2013;300.768/2020;8;2020-07-28;;*
833.862/2012;830.615/2018;9;2018-04-13;;*
833.863/2011;832.023/2017;8;2017-12-12;;*
833.864/2013;830.961/2016;9;2016-05-02;;*
833.867/2012;833.307/2014;9;2014-11-18;;*
833.870/2007;301.167/2020;8;2020-11-23;;*
833.871/2012;300.795/2017;8;2017-08-21;;*
833.872/2006;830.968/2011;8;2011-04-01;;*
833.873/2010;300.718/2016;8;2016-08-01;;*
833.875/2011;834.972/2011;9;2011-12-21;;*
833.875/2013;832.012/2017;8;2017-12-11;;*
833.876/2010;833.648/2011;2;2011-09-19;;*
833.876/2013;832.013/2017;8;2017-12-11;;*
833.877/2013;832.067/2017;8;2017-12-12;;*
833.878/2010;830.814/2011;9;2011-03-23;;*
833.879/2012;830.228/2015;9;2015-02-06;;*
833.879/2013;832.033/2017;8;2017-12-12;;*
833.880/2013;831.271/2018;8;2018-07-10;;*
833.881/2012;300.856/2016;8;2016-09-09;;*
833.881/2013;832.034/2017;8;2017-12-12;;*
833.882/2012;300.170/2021;8;2021-02-19;;*
833.882/2012;300.171/2021;8;2021-02-19;;*
833.882/2012;300.172/2021;8;2021-02-19;;*
833.882/2012;300.173/2021;8;2021-02-19;;*
833.882/2012;300.174/2021;8;2021-02-19;;*
833.882/2012;300.175/2021;8;2021-02-19;;*
833.882/2012;300.176/2021;8;2021-02-19;;*
833.888/2011;830.592/2015;9;2015-03-13;;*
833.888/2013;832.021/2017;8;2017-12-12;;*
833.889/2011;831.372/2015;9;2015-05-29;;*
833.889/2013;832.019/2017;8;2017-12-12;;*
833.890/2012;300.314/2021;8;2021-03-23;;*
833.890/2013;832.018/2017;8;2017-12-11;;*
833.891/2012;301.284/2022;8;2022-11-18;;*
833.891/2013;830.461/2017;8;2017-03-24;;*
833.892/2013;832.017/2017;8;2017-12-11;;*
833.893/2012;832.046/2017;8;2017-12-12;;*
833.894/2013;832.016/2017;8;2017-12-11;;*
833.895/2011;300.268/2019;8;2019-04-15;;*
833.895/2011;831.846/2014;2;2014-07-04;;*
833.895/2012;300.029/2020;8;2020-01-16;;*
833.895/2012;300.030/2020;8;2020-01-16;;*
833.896/2012;300.085/2019;8;2019-02-13;;*
833.896/2013;832.015/2017;8;2017-12-11;;*
833.897/2012;300.701/2019;8;2019-08-20;;*
833.897/2013;832.070/2017;8;2017-12-12;;*
833.898/2012;300.031/2020;8;2020-01-16;;*
833.900/2013;300.074/2025;8;2025-02-05;;*
833.901/1993;831.644/2012;8;2012-05-17;;*
833.903/2013;830.254/2017;2;2017-02-21;;*
833.907/2012;300.549/2018;8;2018-06-05;;*
833.907/2012;300.550/2018;8;2018-06-05;;*
833.907/2012;300.551/2018;8;2018-06-05;;*
833.907/2012;300.552/2018;8;2018-06-05;;*
833.911/2011;832.309/2014;2;2014-08-20;;*
833.912/2011;831.209/2012;9;2012-04-11;;*
833.912/2013;832.636/2024;8;2024-12-10;;*
833.914/2006;300.670/2016;8;2016-07-18;;*
833.915/2010;301.296/2021;8;2021-12-18;;*
833.915/2010;301.297/2021;8;2021-12-18;;*
833.917/2011;832.262/2014;8;2014-08-18;;*
833.917/2013;831.699/2014;9;2014-06-20;;*
833.918/2010;832.694/2016;8;2016-12-07;;*
833.918/2012;300.945/2023;8;2023-12-14;;*
833.923/2012;300.597/2016;8;2016-06-21;;*
833.923/2012;300.598/2016;8;2016-06-21;;*
833.923/2012;831.632/2014;2;2014-06-16;;*
833.925/2007;300.952/2011;8;2011-09-30;;*
833.926/2006;300.993/2023;8;2023-12-28;;*
833.926/2007;832.306/2022;8;2022-10-17;;*
833.927/2012;832.642/2015;9;2015-10-07;;*
833.929/2010;832.880/2015;8;2015-11-09;;*
833.930/2007;301.030/2020;8;2020-10-29;;*
833.930/2007;301.031/2020;8;2020-10-29;;*
833.930/2007;301.032/2020;8;2020-10-29;;*
833.930/2010;832.882/2015;8;2015-11-09;;*
833.930/2013;300.766/2018;8;2018-08-10;;*
833.930/2013;830.002/2018;9;2018-01-02;;*
833.930/2013;832.275/2024;8;2024-11-18;;*
833.931/2006;830.162/2009;2;2009-01-28;;*
833.931/2006;832.101/2011;2;2011-06-06;;*
833.931/2007;831.244/2015;8;2015-05-15;;*
833.931/2007;831.245/2015;8;2015-05-15;;*
833.931/2007;831.246/2015;8;2015-05-15;;*
833.933/2010;300.793/2019;8;2019-09-10;;*
833.933/2011;832.051/2017;8;2017-12-12;;*
833.934/2006;830.453/2004;2;2016-05-25;;*
833.934/2010;300.796/2019;8;2019-09-10;;*
833.935/2010;300.794/2019;8;2019-09-10;;*
833.937/2010;300.795/2019;8;2019-09-10;;*
833.938/2010;832.585/2013;8;2013-08-26;;*
833.942/2007;832.172/2017;8;2017-12-19;;*
833.943/2010;300.670/2014;8;2014-09-24;;*
833.943/2010;300.671/2014;8;2014-09-24;;*
833.943/2010;300.672/2014;8;2014-09-24;;*
833.943/2010;300.673/2014;8;2014-09-24;;*
833.943/2010;300.674/2014;8;2014-09-24;;*
833.944/2010;301.113/2022;8;2022-09-29;;*
833.944/2010;301.114/2022;8;2022-09-29;;*
833.948/2011;830.445/2017;8;2017-03-23;;*
833.949/2011;301.410/2022;8;2022-12-28;;*
833.950/2006;300.366/2014;8;2014-06-06;;*
833.950/2006;830.077/2024;2;2024-01-16;;*
833.950/2011;300.512/2017;8;2017-05-25;;*
833.950/2011;300.513/2017;8;2017-05-25;;*
833.950/2011;300.514/2017;8;2017-05-25;;*
833.950/2013;830.068/2018;2;2018-01-12;;*
833.951/2007;300.843/2011;8;2011-08-30;;*
833.951/2013;300.618/2019;8;2019-07-31;;*
833.953/2007;301.069/2021;8;2021-10-27;;*
833.953/2011;300.568/2018;8;2018-06-07;;*
833.953/2011;832.666/2013;2;2013-08-30;;*
833.953/2011;832.667/2013;2;2013-08-30;;*
833.953/2011;832.668/2013;2;2013-08-30;;*
833.953/2011;832.669/2013;2;2013-08-30;;*
833.953/2011;832.670/2013;2;2013-08-30;;*
833.953/2011;832.671/2013;2;2013-08-30;;*
833.953/2011;832.672/2013;2;2013-08-30;;*
833.953/2011;832.817/2015;2;2015-10-29;;*
833.953/2013;300.113/2025;8;2025-02-13;;*
833.954/2012;832.494/2024;8;2024-12-02;;*
833.954/2013;300.114/2025;8;2025-02-13;;*
833.956/2008;832.194/2017;8;2017-12-19;;*
833.956/2012;300.010/2018;8;2018-01-10;;*
833.957/2006;832.739/2013;8;2013-09-09;;*
833.957/2010;300.377/2018;8;2018-04-10;;*
833.957/2010;300.378/2018;8;2018-04-10;;*
833.958/2013;300.309/2025;8;2025-05-07;;*
833.960/2013;300.413/2020;8;2020-04-16;;*
833.961/2012;831.132/2016;8;2016-05-17;;*
833.962/2010;831.648/2018;2;2018-09-12;;*
833.963/2010;300.565/2016;8;2016-06-15;;*
833.963/2013;831.351/2017;9;2017-08-11;;*
833.963/2013;832.185/2015;2;2015-08-20;;*
833.968/2011;830.999/2016;8;2016-05-06;;*
833.970/2007;833.816/2013;2;2013-12-10;;*
833.971/2012;301.156/2022;8;2022-10-06;;*
833.971/2012;301.157/2022;8;2022-10-06;;*
833.971/2012;301.158/2022;8;2022-10-06;;*
833.971/2012;301.159/2022;8;2022-10-06;;*
833.971/2012;301.160/2022;8;2022-10-06;;*
833.973/2012;301.150/2022;8;2022-10-06;;*
833.973/2012;301.151/2022;8;2022-10-06;;*
833.973/2012;301.152/2022;8;2022-10-06;;*
833.973/2012;301.153/2022;8;2022-10-06;;*
833.973/2012;301.154/2022;8;2022-10-06;;*
833.973/2012;301.155/2022;8;2022-10-06;;*
833.974/2012;301.144/2022;8;2022-10-06;;*
833.974/2012;301.145/2022;8;2022-10-06;;*
833.974/2012;301.146/2022;8;2022-10-06;;*
833.974/2012;301.147/2022;8;2022-10-06;;*
833.974/2012;301.148/2022;8;2022-10-06;;*
833.974/2012;301.149/2022;8;2022-10-06;;*
833.975/2012;301.139/2022;8;2022-10-06;;*
833.975/2012;301.140/2022;8;2022-10-06;;*
833.975/2012;301.141/2022;8;2022-10-06;;*
833.975/2012;301.142/2022;8;2022-10-06;;*
833.975/2012;301.143/2022;8;2022-10-06;;*
833.976/2012;301.161/2022;8;2022-10-06;;*
833.976/2012;301.162/2022;8;2022-10-06;;*
833.976/2012;301.163/2022;8;2022-10-06;;*
833.976/2012;301.164/2022;8;2022-10-06;;*
833.976/2012;301.165/2022;8;2022-10-06;;*
834.059/2007;831.221/2016;2;2016-05-27;;*
834.064/2006;830.220/2012;8;2012-01-25;;*
834.064/2007;831.067/2010;9;2010-05-28;;*
834.064/2011;300.879/2016;8;2016-09-22;;*
834.065/2012;832.088/2017;8;2017-12-14;;*
834.066/2010;300.308/2020;8;2020-04-03;;*
834.066/2010;830.932/2013;2;2013-04-04;;*
834.066/2010;831.414/2012;2;2012-05-02;;*
834.067/2010;300.473/2020;8;2020-04-28;;*
834.067/2010;300.474/2020;8;2020-04-28;;*
834.067/2011;832.533/2012;9;2012-09-12;;*
834.068/2007;833.674/2012;8;2012-10-31;;*
834.069/2011;831.225/2014;2;2014-05-12;;*
834.073/2010;833.840/2012;9;2012-11-09;;*
834.077/2012;300.177/2022;8;2022-01-30;;*
834.077/2012;300.178/2022;8;2022-01-30;;*
834.078/2007;832.732/2011;8;2011-07-04;;*
834.079/2011;832.050/2017;8;2017-12-12;;*
834.081/2012;300.776/2020;8;2020-08-04;;*
834.081/2012;300.777/2020;8;2020-08-04;;*
834.081/2012;300.778/2020;8;2020-08-04;;*
834.083/2011;832.571/2013;8;2013-08-26;;*
834.084/2011;831.647/2013;8;2013-06-11;;*
834.090/2012;832.048/2017;8;2017-12-12;;*
834.091/2012;832.069/2017;8;2017-12-12;;*
834.094/2006;300.571/2019;8;2019-07-10;;*
834.095/2008;300.447/2020;8;2020-04-22;;*
834.095/2008;300.448/2020;8;2020-04-22;;*
834.096/2008;300.752/2022;8;2022-05-31;;*
834.098/2006;831.269/2018;8;2018-07-10;;*
834.098/2010;302.535/2015;8;2015-08-05;;*
834.098/2012;300.870/2021;8;2021-08-24;;*
834.098/2012;831.999/2014;2;2014-07-18;;*
834.099/2006;831.174/2016;8;2016-05-20;;*
834.099/2010;302.536/2015;8;2015-08-05;;*
834.099/2010;302.537/2015;8;2015-08-05;;*
834.099/2010;302.538/2015;8;2015-08-05;;*
834.099/2010;302.539/2015;8;2015-08-05;;*
834.099/2010;832.420/2024;8;2024-11-26;;*
834.099/2012;300.009/2022;8;2022-01-02;;*
834.101/2006;833.305/2012;9;2012-10-15;;*
834.101/2010;300.354/2018;8;2018-04-05;;*
834.103/2011;832.058/2017;8;2017-12-12;;*
834.104/2010;300.092/2019;8;2019-02-14;;*
834.106/2012;832.822/2023;2;2023-09-29;;*
834.107/1995;300.782/2010;8;2010-08-09;;*
834.110/2010;830.201/2020;2;2020-02-21;;*
834.113/2010;832.125/2017;8;2017-12-14;;*
834.114/2011;301.013/2024;8;2024-11-14;;*
834.114/2011;301.014/2024;8;2024-11-14;;*
834.116/2010;831.131/2021;8;2021-06-14;;*
834.116/2010;831.138/2021;8;2021-06-14;;*
834.116/2010;831.139/2021;8;2021-06-14;;*
834.116/2010;831.302/2021;8;2021-06-18;;*
834.116/2010;831.311/2021;8;2021-06-18;;*
834.116/2010;831.317/2021;8;2021-06-18;;*
834.116/2011;300.372/2016;8;2016-04-20;;*
834.116/2011;300.373/2016;8;2016-04-20;;*
834.116/2011;300.374/2016;8;2016-04-20;;*
834.116/2011;830.680/2015;2;2015-03-24;;*
834.116/2011;831.233/2014;2;2014-05-13;;*
834.118/2011;301.009/2020;8;2020-10-25;;*
834.119/2011;833.832/2012;9;2012-11-08;;*
834.121/2011;834.038/2013;2;2013-12-27;;*
834.126/2007;300.231/2021;8;2021-03-05;;*
834.127/2010;831.134/2021;8;2021-06-14;;*
834.127/2010;831.306/2021;8;2021-06-18;;*
834.129/2007;831.432/2005;8;2009-11-09;;*
834.132/2006;300.249/2019;8;2019-04-11;;*
834.132/2010;300.744/2019;8;2019-08-29;;*
834.132/2010;831.406/2013;2;2013-05-15;;*
834.134/2010;830.299/2018;8;2018-02-23;;*
834.135/2010;830.118/2013;9;2013-01-18;;*
834.136/2008;830.402/2016;8;2016-03-01;;*
834.139/2008;300.966/2013;8;2013-09-30;;*
834.140/2011;832.064/2017;8;2017-12-12;;*
834.141/2006;833.673/2011;5;2016-07-01;;*
834.141/2008;830.991/2016;8;2016-05-04;;*
834.147/2011;301.246/2021;8;2021-12-03;;*
834.150/2006;300.221/2013;8;2013-03-07;;*
834.151/2010;830.008/2012;9;2012-01-02;;*
834.155/2011;834.981/2011;9;2011-12-22;;*
834.156/2008;831.041/2013;8;2013-04-10;;*
834.156/2011;830.494/2017;8;2017-03-28;;*
834.162/2011;832.500/2024;8;2024-12-03;;*
834.163/2008;831.697/2012;8;2012-05-23;;*
834.164/2008;830.267/2011;8;2011-02-03;;*
834.169/2006;831.920/2023;9;2023-07-12;;*
834.173/2008;300.760/2019;8;2019-09-03;;*
834.173/2008;833.930/2012;2;2012-11-16;;*
834.173/2008;833.931/2012;2;2012-11-16;;*
834.173/2008;833.932/2012;2;2012-11-16;;*
834.173/2008;833.933/2012;2;2012-11-16;;*
834.173/2008;833.934/2012;2;2012-11-16;;*
834.173/2008;833.935/2012;2;2012-11-16;;*
834.173/2008;833.936/2012;2;2012-11-16;;*
834.173/2008;833.937/2012;2;2012-11-16;;*
834.173/2008;833.938/2012;2;2012-11-16;;*
834.174/2007;300.138/2023;8;2023-02-09;;*
834.174/2007;300.139/2023;8;2023-02-09;;*
834.175/2007;831.101/2011;2;2011-04-14;;*
834.175/2007;832.987/2009;2;2009-12-28;;*
834.176/2007;833.323/2010;9;2010-08-24;;*
834.177/2010;302.791/2015;8;2015-10-05;;*
834.180/2006;834.595/2010;8;2010-11-25;;*
834.181/2007;300.239/2019;8;2019-04-10;;*
834.181/2007;830.809/2012;2;2012-03-13;;*
834.181/2007;830.810/2012;2;2012-03-13;;*
834.181/2007;830.811/2012;2;2012-03-13;;*
834.181/2007;833.232/2014;2;2014-11-11;;*
834.183/2006;832.210/2013;8;2013-07-29;;*
834.184/2007;831.296/2022;8;2022-06-23;;*
834.185/2008;833.675/2012;8;2012-10-31;;*
834.185/2012;300.870/2019;8;2019-10-07;;*
834.186/2012;300.280/2020;8;2020-03-31;;*
834.188/2010;830.098/2012;9;2012-01-11;;*
834.189/2011;301.095/2020;8;2020-11-16;;*
834.189/2011;831.504/2016;2;2016-07-01;;*
834.193/2011;832.691/2024;8;2024-12-11;;*
834.195/2010;831.281/2015;8;2015-05-20;;*
834.197/2007;300.952/2023;8;2023-12-20;;*
834.197/2012;830.286/2022;2;2022-03-04;;*
834.198/2006;833.805/2011;8;2011-09-28;;*
834.199/2011;832.063/2017;8;2017-12-12;;*
834.200/2008;832.404/2011;8;2011-06-13;;*
834.201/2006;300.849/2013;8;2013-08-21;;*
834.207/2012;832.902/2015;2;2015-11-11;;*
834.208/2011;300.271/2023;8;2023-03-22;;*
834.215/2008;300.429/2011;8;2011-05-10;;*
834.215/2008;300.430/2011;8;2011-05-10;;*
834.215/2010;832.564/2013;8;2013-08-26;;*
834.220/2008;300.151/2025;8;2025-02-26;;*
834.220/2008;300.152/2025;8;2025-02-26;;*
834.220/2011;300.588/2017;8;2017-06-20;;*
834.221/2008;832.393/2012;2;2012-07-11;;*
834.221/2008;833.523/2011;2;2011-09-08;;*
834.223/2011;832.161/2024;8;2024-11-12;;*
834.225/2011;830.216/2015;2;2015-02-04;;*
834.225/2011;832.395/2013;2;2013-08-16;;*
834.227/2007;830.305/2018;8;2018-02-23;;*
834.228/2007;300.557/2011;8;2011-06-17;;*
834.229/2011;300.615/2020;8;2020-06-15;;*
834.229/2011;300.616/2020;8;2020-06-15;;*
834.229/2011;832.725/2016;2;2016-12-09;;*
834.229/2011;832.726/2016;2;2016-12-09;;*
834.229/2011;832.771/2016;2;2016-12-16;;*
834.230/2010;300.376/2018;8;2018-04-10;;*
834.230/2010;832.070/2014;2;2014-07-24;;*
834.230/2010;832.071/2014;2;2014-07-24;;*
834.231/2008;830.136/2017;8;2017-01-31;;*
834.410/2011;300.669/2018;8;2018-07-06;;*
834.410/2011;300.670/2018;8;2018-07-06;;*
834.410/2011;300.671/2018;8;2018-07-06;;*
834.411/2011;303.079/2017;8;2017-10-31;;*
834.411/2011;303.080/2017;8;2017-10-31;;*
834.411/2012;832.078/2017;8;2017-12-12;;*
834.417/2007;300.078/2020;8;2020-01-27;;*
834.417/2011;300.101/2018;8;2018-02-01;;*
834.418/2007;300.091/2011;8;2011-02-10;;*
834.418/2012;300.504/2019;8;2019-06-27;;*
834.421/2008;831.105/2018;8;2018-06-26;;*
834.424/2011;831.726/2015;8;2015-07-07;;*
834.425/2011;831.725/2015;8;2015-07-07;;*
834.426/2011;302.261/2015;8;2015-05-04;;*
834.426/2011;302.262/2015;8;2015-05-04;;*
834.426/2011;302.263/2015;8;2015-05-04;;*
834.426/2011;302.264/2015;8;2015-05-04;;*
834.426/2011;302.265/2015;8;2015-05-04;;*
834.427/2011;300.392/2017;8;2017-04-07;;*
834.427/2011;300.393/2017;8;2017-04-07;;*
834.430/2007;831.382/2016;2;2016-06-15;;*
834.430/2007;832.711/2016;2;2016-12-07;;*
834.430/2007;832.712/2016;2;2016-12-07;;*
834.430/2007;832.713/2016;2;2016-12-07;;*
834.430/2010;300.199/2019;8;2019-04-01;;*
834.431/2010;300.263/2021;8;2021-03-10;;*
834.432/2007;830.679/2013;9;2013-03-08;;*
834.432/2010;832.124/2017;8;2017-12-14;;*
834.433/2007;300.137/2012;8;2012-02-08;;*
834.433/2007;300.767/2011;8;2011-08-11;;*
834.433/2010;832.126/2017;8;2017-12-14;;*
834.437/2007;831.027/2009;9;2009-05-15;;*
834.442/2010;832.084/2022;8;2022-09-29;;*
834.447/2007;831.152/2015;8;2015-05-08;;*
834.448/2007;832.219/2013;8;2013-07-29;;*
834.449/2007;300.930/2012;8;2012-10-15;;*
834.450/2007;301.286/2020;8;2020-12-15;;*
834.451/1993;833.212/2013;8;2013-10-22;;*
834.451/2007;832.218/2013;8;2013-07-29;;*
834.452/2007;300.265/2012;8;2012-03-10;;*
834.452/2008;300.174/2022;8;2022-01-30;;*
834.452/2008;300.175/2022;8;2022-01-30;;*
834.452/2011;301.107/2020;8;2020-11-18;;*
834.453/2007;300.931/2012;8;2012-10-15;;*
834.453/2011;832.362/2024;8;2024-11-22;;*
834.455/2007;301.118/2013;8;2013-11-29;;*
834.456/2008;833.928/2013;8;2013-12-18;;*
834.456/2011;832.055/2017;8;2017-12-12;;*
834.459/2011;300.748/2019;8;2019-08-29;;*
834.459/2011;833.690/2013;2;2013-12-02;;*
834.460/2008;833.341/2012;9;2012-10-16;;*
834.462/2011;830.460/2017;8;2017-03-24;;*
834.465/2011;833.951/2013;2;2013-12-19;;*
834.466/2007;832.177/2013;8;2013-07-25;;*
834.467/2007;832.176/2013;8;2013-07-25;;*
834.468/2007;832.135/2013;8;2013-07-23;;*
834.472/2007;831.698/2012;8;2012-05-23;;*
834.472/2011;301.144/2016;8;2016-11-21;;*
834.472/2011;301.145/2016;8;2016-11-21;;*
834.472/2011;301.146/2016;8;2016-11-21;;*
834.472/2011;830.227/2020;2;2020-02-28;;*
834.475/2007;832.025/2011;8;2011-05-31;;*
834.477/2010;831.435/2025;8;2025-09-18;;*
834.479/2008;300.379/2018;8;2018-04-10;;*
834.480/2008;300.382/2018;8;2018-04-10;;*
834.480/2008;830.064/2022;2;2022-01-17;;*
834.482/2010;300.179/2024;8;2024-03-06;;*
834.482/2010;300.180/2024;8;2024-03-06;;*
834.482/2011;300.637/2018;8;2018-06-29;;*
834.482/2011;830.217/2015;2;2015-02-04;;*
834.482/2011;830.599/2014;2;2014-03-11;;*
834.482/2011;831.741/2017;9;2017-10-25;;*
834.483/2011;300.477/2017;8;2017-05-12;;*
834.484/2010;303.234/2018;8;2018-11-01;;*
834.484/2010;303.274/2018;8;2018-11-12;;*
834.485/2011;834.841/2011;9;2011-12-14;;*
834.486/2011;834.842/2011;9;2011-12-14;;*
834.487/2011;300.421/2017;8;2017-04-18;;*
834.488/2007;302.575/2015;8;2015-08-14;;*
834.494/2008;830.410/2011;9;2011-02-11;;*
834.494/2010;300.509/2013;8;2013-05-27;;*
834.502/2008;300.795/2018;8;2018-08-17;;*
834.505/2010;832.528/2024;8;2024-12-04;;*
834.506/2008;834.986/2011;9;2011-12-22;;*
834.515/2007;830.279/2011;8;2011-02-07;;*
834.516/2007;834.444/2010;8;2010-11-17;;*
834.520/2008;300.275/2019;8;2019-04-15;;*
834.523/2008;830.685/2006;2;2008-11-25;;*
834.525/2008;832.641/2024;8;2024-12-10;;*
834.530/2008;302.727/2015;8;2015-09-24;;*
834.530/2008;833.640/2012;2;2012-10-29;;*
834.534/2010;832.838/2012;2;2012-09-21;;*
834.534/2011;301.231/2016;8;2016-12-21;;*
834.534/2011;301.232/2016;8;2016-12-21;;*
834.543/2010;832.271/2022;8;2022-10-14;;*
834.543/2010;832.333/2022;8;2022-10-18;;*
834.544/2007;300.019/2014;8;2014-01-10;;*
834.544/2008;830.822/2018;8;2018-05-17;;*
834.547/2008;832.205/2017;8;2017-12-20;;*
834.554/2008;830.821/2018;8;2018-05-17;;*
834.554/2010;832.418/2013;2;2013-08-19;;*
834.555/2010;831.138/2013;2;2013-04-18;;*
834.558/2008;830.344/2018;8;2018-02-26;;*
834.559/2008;832.206/2017;8;2017-12-20;;*
834.561/2011;300.126/2025;8;2025-02-20;;*
834.562/2008;832.146/2017;8;2017-12-14;;*
834.563/2008;830.458/2017;8;2017-03-24;;*
834.565/2008;832.207/2017;8;2017-12-20;;*
834.569/2008;832.101/2017;8;2017-12-14;;*
834.573/2008;832.208/2017;8;2017-12-20;;*
834.574/2008;832.209/2017;8;2017-12-20;;*
834.575/2008;830.343/2018;8;2018-02-26;;*
834.576/2008;832.173/2017;8;2017-12-19;;*
834.578/2007;834.481/2011;2;2011-11-21;;*
834.578/2008;832.171/2017;8;2017-12-19;;*
834.580/2008;830.224/2010;2;2010-02-10;;*
834.580/2008;830.225/2010;2;2010-02-10;;*
834.581/2007;832.386/2009;9;2009-10-14;;*
834.587/2008;832.170/2017;8;2017-12-19;;*
834.589/2007;300.031/2014;8;2014-01-17;;*
834.592/2010;830.108/2016;8;2016-01-22;;*
834.593/2010;831.032/2013;2;2013-04-09;;*
834.595/2010;300.245/2019;8;2019-04-11;;*
834.596/2007;300.294/2014;8;2014-05-09;;*
834.596/2010;300.959/2022;8;2022-08-21;;*
834.596/2010;830.717/2014;2;2014-03-26;;*
834.597/2010;300.640/2019;8;2019-08-06;;*
834.597/2010;303.213/2018;8;2018-10-30;;*
834.597/2010;830.391/2019;2;2019-04-08;;*
834.601/2008;832.479/2024;8;2024-11-29;;*
834.603/2011;832.450/2012;9;2012-09-12;;*
834.604/2008;830.296/2018;8;2018-02-23;;*
834.604/2011;830.088/2022;2;2022-01-20;;*
834.605/1995;833.828/2011;8;2011-09-28;;*
834.605/2008;832.565/2013;8;2013-08-26;;*
834.605/2011;832.921/2021;2;2021-12-17;;*
834.606/1995;833.893/2011;8;2011-10-03;;*
834.606/2008;303.370/2018;8;2018-12-03;;*
834.611/1995;830.154/2016;8;2016-01-29;;*
834.611/2007;832.419/2024;8;2024-11-26;;*
834.612/1995;830.353/2016;8;2016-02-23;;*
834.612/2010;832.108/2021;8;2021-08-31;;*
834.617/2008;831.130/2018;8;2018-06-27;;*
