DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
003.156/1936;815.163/2024;3;2024-07-04;;*
003.156/1936;815.407/2019;3;2019-11-04;;*
003.156/1936;815.416/2012;7;2012-07-02;;*
003.156/1936;815.417/2012;7;2012-07-02;;*
003.156/1936;815.418/2012;7;2012-07-02;;*
003.156/1936;815.513/2013;3;2013-06-24;;*
003.156/1936;815.608/2013;3;2013-07-26;;*
003.156/1936;815.609/2013;3;2013-07-26;;*
003.156/1936;815.610/2013;3;2013-07-26;;*
003.156/1936;815.611/2013;3;2013-07-26;;*
003.156/1936;815.612/2013;3;2013-07-26;;*
007.365/1941;815.793/2015;3;2015-10-28;;*
007.365/1941;816.094/2013;3;2013-12-19;;*
007.366/1941;815.788/2012;3;2012-11-23;;*
007.366/1941;815.790/2012;3;2012-11-23;;*
007.387/1958;896.210/2000;1;2010-04-19;;*
007.387/1958;896.210/2000;2;2010-04-19;;*
007.387/1958;896.210/2000;3;2010-04-19;;*
007.397/1951;810.006/2022;3;2022-01-06;;*
007.397/1951;810.455/2024;3;2024-09-18;;*
007.397/1951;810.760/2010;3;2010-07-15;;*
007.398/1951;810.201/2025;3;2025-05-06;;*
007.398/1951;810.970/2018;3;2018-12-07;;*
007.398/1951;910.600/1985;2;2000-04-18;;*
007.461/1957;896.070/2015;2;2015-03-05;;*
008.201/1937;000.820/1937;1;2013-08-09;;*
008.201/1937;000.820/1937;5;2013-08-09;;*
008.201/1937;000.820/1937;99;2013-08-09;;*
008.664/1944;830.106/2014;7;2014-01-20;;*
008.664/1944;832.377/2024;7;2024-11-24;;*
008.694/1943;815.155/2019;3;2019-05-22;;*
008.694/1943;815.617/2018;3;2018-11-29;;*
008.786/1956;896.088/2023;2;2023-08-10;;*
008.786/1956;896.089/2023;7;2023-08-10;;*
008.786/1956;896.113/2018;7;2018-08-16;;*
008.786/1956;896.114/2018;7;2018-08-16;;*
008.786/1956;896.115/2018;7;2018-08-16;;*
008.786/1956;896.142/2018;7;2018-10-01;;*
008.786/1956;896.385/2004;3;2017-11-28;;*
008.786/1956;896.555/2011;2;2011-10-11;;*
008.786/1956;896.577/2014;2;2014-12-12;;*
