DSProcesso;IDCondicaoPropriedadeSolo
821.004/2010;5
821.004/2011;3
821.004/2012;3
821.004/2013;5
821.004/2014;5
821.004/2015;6
821.005/2000;5
821.005/2001;3
821.005/2002;3
821.005/2003;5
821.005/2008;5
821.005/2009;6
821.005/2010;5
821.005/2011;50
821.005/2012;3
821.005/2013;5
821.005/2014;5
821.005/2015;3
821.006/2000;5
821.006/2001;3
821.006/2002;3
821.006/2003;6
821.006/2008;3
821.006/2009;3
821.006/2010;3
821.006/2011;50
821.006/2012;3
821.006/2013;3
821.006/2014;5
821.006/2015;3
821.007/2000;50
821.007/2001;3
821.007/2002;6
821.007/2003;6
821.007/2008;7
821.007/2009;3
821.007/2010;3
821.007/2011;7
821.007/2012;3
821.007/2013;3
821.007/2014;5
821.007/2015;3
821.008/2000;50
821.008/2001;5
821.008/2002;50
821.008/2003;3
821.008/2008;3
821.008/2009;3
821.008/2010;3
821.008/2011;1
821.008/2012;3
821.008/2013;6
821.008/2014;5
821.008/2015;5
821.009/2000;6
821.009/2001;3
821.009/2002;3
821.009/2003;3
821.009/2008;3
821.009/2009;5
821.009/2010;3
821.009/2011;3
821.009/2012;3
821.009/2013;6
821.009/2014;3
821.009/2015;5
821.010/2000;6
821.010/2001;5
821.010/2002;6
821.010/2003;5
821.010/2008;5
821.010/2009;3
821.010/2010;5
821.010/2011;3
821.010/2012;3
821.010/2013;3
821.010/2014;3
821.010/2015;3
821.011/2000;3
821.011/2001;5
821.011/2002;3
821.011/2003;3
821.011/2008;3
821.011/2009;3
821.011/2010;3
821.011/2011;3
821.011/2012;6
821.011/2013;6
821.011/2014;6
821.011/2015;50
821.012/2000;3
821.012/2001;3
821.012/2002;6
821.012/2003;3
821.012/2008;3
821.012/2009;50
821.012/2010;3
821.012/2011;3
821.012/2012;3
821.012/2013;3
821.012/2014;6
821.012/2015;3
821.013/2000;3
821.013/2001;5
821.013/2002;3
821.013/2003;5
821.013/2008;3
821.013/2009;50
821.013/2010;3
821.013/2011;3
821.013/2012;3
821.013/2013;3
821.013/2014;3
821.013/2015;3
821.014/2000;5
821.014/2001;3
821.014/2002;3
821.014/2003;5
821.014/2008;3
821.014/2009;5
821.014/2010;3
821.014/2011;3
821.014/2012;3
821.014/2013;3
821.014/2014;50
821.014/2015;3
821.015/2000;3
821.015/2001;50
821.015/2002;6
821.015/2003;5
821.015/2008;3
821.015/2009;6
821.015/2010;3
821.015/2011;3
821.015/2012;3
821.015/2013;5
821.015/2014;50
821.015/2015;3
821.016/2000;3
821.016/2001;50
821.016/2002;3
821.016/2003;5
821.016/2008;3
821.016/2009;3
821.016/2010;5
821.016/2011;3
821.016/2012;3
821.016/2013;3
821.016/2014;50
821.016/2015;5
821.017/2000;3
821.017/2001;50
821.017/2002;50
821.017/2003;5
821.017/2008;5
821.017/2009;6
821.017/2010;5
821.017/2011;3
821.017/2012;3
821.017/2013;3
821.017/2014;50
821.017/2015;3
821.018/2000;3
821.018/2001;5
821.018/2002;3
821.018/2003;6
821.018/2008;3
821.018/2009;50
821.018/2010;3
821.018/2011;3
821.018/2012;3
821.018/2013;3
821.018/2014;50
821.018/2015;3
821.019/2000;5
821.019/2001;3
821.019/2002;5
821.019/2003;3
821.019/2008;5
821.019/2009;50
821.019/2010;3
821.019/2011;50
821.019/2012;3
821.019/2013;3
821.019/2014;3
821.019/2015;3
821.020/2000;5
821.020/2001;5
821.020/2002;6
821.020/2003;5
821.020/2008;5
821.020/2009;50
821.020/2010;1
821.020/2011;5
821.020/2012;3
821.020/2013;6
821.020/2014;50
821.020/2015;5
821.021/2000;3
821.021/2001;5
821.021/2002;3
821.021/2003;5
821.021/2008;3
821.021/2009;50
821.021/2010;3
821.021/2011;3
821.021/2012;3
821.021/2013;3
821.021/2014;3
821.021/2015;6
821.022/2000;3
821.022/2001;3
821.022/2002;3
821.022/2003;5
821.022/2008;3
821.022/2009;50
821.022/2010;5
821.022/2011;3
821.022/2012;3
821.022/2013;5
821.022/2014;3
821.022/2015;5
821.023/2000;3
821.023/2001;3
821.023/2002;5
821.023/2003;3
821.023/2008;3
821.023/2009;50
821.023/2010;3
821.023/2011;3
821.023/2012;3
821.023/2013;3
821.023/2014;3
821.023/2015;3
821.024/2000;5
821.024/2001;3
821.024/2002;1
821.024/2003;3
821.024/2008;3
821.024/2009;50
821.024/2010;5
821.024/2011;3
821.024/2012;3
821.024/2013;3
821.024/2014;50
821.024/2015;3
821.025/2000;3
821.025/2001;3
821.025/2002;5
821.025/2003;6
821.025/2008;3
821.025/2009;50
821.025/2010;3
821.025/2011;3
821.025/2012;3
821.025/2013;3
821.025/2014;3
821.025/2015;3
821.026/2000;6
821.026/2001;3
821.026/2002;6
821.026/2003;6
821.026/2008;3
821.026/2009;50
821.026/2010;6
821.026/2011;3
821.026/2012;3
821.026/2013;5
821.026/2014;5
821.026/2015;3
821.027/2001;50
821.027/2002;6
821.027/2003;6
821.027/2008;3
821.027/2009;50
821.027/2010;3
821.027/2011;3
821.027/2012;3
821.027/2013;3
821.027/2014;3
821.027/2015;3
821.028/2000;5
821.028/2001;3
821.028/2002;6
821.028/2003;6
821.028/2008;3
821.028/2009;50
821.028/2010;3
821.028/2011;50
821.028/2012;6
821.028/2013;50
821.028/2014;3
821.028/2015;3
821.029/2000;5
821.029/2001;3
821.029/2002;6
821.029/2003;3
821.029/2008;3
821.029/2009;50
821.029/2010;3
821.029/2011;3
821.029/2012;6
821.029/2013;3
821.029/2014;3
821.029/2015;3
821.030/2000;5
821.030/2001;3
821.030/2002;6
821.030/2008;5
821.030/2009;50
821.030/2010;3
821.030/2011;3
821.030/2012;3
821.030/2013;5
821.030/2014;3
821.030/2015;50
821.031/2000;3
821.031/2001;5
821.031/2002;50
821.031/2003;5
821.031/2008;5
821.031/2009;50
821.031/2010;3
821.031/2011;3
821.031/2012;3
821.031/2013;3
821.031/2014;3
821.031/2015;3
821.032/2000;3
821.032/2001;50
821.032/2002;3
821.032/2003;3
821.032/2008;3
821.032/2009;50
821.032/2010;3
821.032/2011;3
821.032/2012;6
821.032/2013;3
821.032/2014;3
821.032/2015;7
821.033/2000;3
821.033/2001;3
821.033/2002;5
821.033/2003;6
821.033/2008;3
821.033/2009;50
821.033/2010;3
821.033/2011;3
821.033/2012;3
821.033/2013;3
821.033/2014;3
821.033/2015;7
821.034/2000;3
821.034/2001;5
821.034/2002;5
821.034/2003;3
821.034/2008;3
821.034/2009;50
821.034/2010;6
821.034/2011;3
821.034/2012;3
821.034/2013;50
821.034/2014;3
821.034/2015;7
821.035/2000;3
821.035/2001;5
821.035/2002;5
821.035/2003;3
821.035/2008;3
821.035/2009;50
821.035/2010;3
821.035/2011;3
821.035/2012;3
821.035/2013;1
821.035/2014;5
821.035/2015;7
821.036/2000;3
821.036/2001;5
821.036/2003;3
821.036/2008;3
821.036/2009;50
821.036/2010;3
821.036/2011;3
821.036/2012;3
821.036/2013;5
821.036/2014;3
821.036/2015;7
821.037/2000;3
821.037/2001;6
821.037/2002;5
821.037/2003;5
821.037/2008;3
821.037/2009;50
821.037/2010;3
821.037/2011;3
821.037/2012;3
821.037/2013;3
821.037/2014;50
821.037/2015;7
821.038/2000;5
821.038/2001;3
821.038/2002;3
821.038/2003;5
821.038/2008;3
821.038/2009;50
821.038/2010;3
821.038/2011;3
821.038/2012;3
821.038/2013;3
821.038/2014;3
821.038/2015;7
821.039/2000;5
821.039/2001;5
821.039/2002;3
821.039/2003;5
821.039/2008;6
821.039/2009;50
821.039/2010;3
821.039/2011;3
821.039/2012;3
821.039/2013;3
821.039/2014;3
821.039/2015;7
821.040/1999;3
821.040/2000;5
821.040/2001;3
821.040/2002;6
821.040/2003;5
821.040/2008;6
821.040/2009;50
821.040/2010;3
821.040/2011;3
821.040/2012;6
821.040/2013;3
821.040/2014;5
821.040/2015;7
821.041/2000;5
821.041/2001;3
821.041/2002;6
821.041/2003;6
821.041/2008;3
821.041/2009;50
821.041/2010;3
821.041/2011;3
821.041/2012;6
821.041/2013;3
821.041/2014;50
821.041/2015;7
821.042/2000;5
821.042/2001;3
821.042/2002;5
821.042/2003;3
821.042/2008;50
821.042/2009;50
821.042/2010;3
821.042/2011;3
821.042/2012;50
821.042/2013;3
821.042/2014;3
821.042/2015;7
821.043/2000;5
821.043/2001;3
821.043/2002;5
821.043/2003;5
821.043/2008;50
821.043/2009;50
821.043/2010;3
821.043/2011;3
821.043/2012;3
821.043/2013;3
821.043/2014;6
821.043/2015;7
821.044/2000;50
821.044/2001;3
821.044/2002;5
821.044/2003;5
821.044/2008;50
821.044/2009;50
821.044/2010;3
821.044/2011;3
821.044/2012;3
821.044/2013;3
821.044/2014;3
821.044/2015;7
821.045/2000;3
821.045/2001;3
821.045/2002;5
821.045/2003;3
821.045/2008;50
821.045/2009;50
821.045/2010;3
821.045/2011;3
821.045/2012;3
821.045/2013;5
821.045/2014;3
821.045/2015;7
821.046/2000;3
821.046/2001;3
821.046/2002;5
821.046/2003;6
821.046/2008;3
821.046/2009;50
821.046/2010;3
821.046/2011;3
821.046/2012;5
821.046/2013;3
821.046/2014;3
821.046/2015;7
821.047/2000;3
821.047/2001;6
821.047/2002;5
821.047/2003;7
821.047/2008;50
821.047/2009;50
821.047/2010;5
821.047/2011;3
821.047/2012;3
821.047/2013;3
821.047/2014;3
821.047/2015;7
821.048/2000;3
821.048/2001;50
821.048/2002;5
821.048/2003;5
821.048/2008;50
821.048/2009;50
821.048/2010;3
821.048/2011;5
821.048/2012;5
821.048/2013;5
821.048/2014;3
821.048/2015;5
821.049/2000;3
821.049/2001;6
821.049/2002;3
821.049/2003;5
821.049/2008;3
821.049/2009;50
821.049/2010;3
821.049/2011;5
821.049/2012;5
821.049/2013;3
821.049/2014;3
821.049/2015;50
821.050/2000;50
821.050/2001;6
821.050/2002;3
821.050/2003;3
821.050/2008;3
821.050/2009;50
821.050/2010;3
821.050/2011;5
821.050/2012;3
821.050/2013;3
821.050/2014;3
821.050/2015;50
821.051/1998;3
821.051/2000;50
821.051/2001;5
821.051/2002;3
821.051/2003;5
821.051/2008;5
821.051/2009;50
821.051/2010;3
821.051/2011;5
821.051/2012;3
821.051/2013;5
821.051/2014;3
821.051/2015;3
821.052/2000;3
821.052/2001;5
821.052/2002;5
821.052/2003;5
821.052/2008;3
821.052/2009;50
821.052/2010;3
821.052/2011;5
821.052/2012;5
821.052/2013;3
821.052/2014;3
821.052/2015;5
821.053/2000;3
821.053/2001;5
821.053/2002;6
821.053/2003;6
821.053/2008;3
821.053/2009;50
821.053/2010;5
821.053/2011;3
821.053/2012;7
821.053/2013;50
821.053/2014;3
821.053/2015;5
821.054/2000;3
821.054/2001;3
821.054/2002;5
821.054/2003;5
821.054/2008;3
821.054/2009;50
821.054/2010;1
821.054/2011;5
821.054/2012;7
821.054/2013;50
821.054/2014;3
821.054/2015;5
821.055/2000;3
821.055/2001;3
821.055/2002;3
821.055/2003;5
821.055/2008;3
821.055/2009;50
821.055/2010;5
821.055/2011;6
821.055/2012;3
821.055/2013;50
821.055/2014;3
821.055/2015;3
821.056/2000;3
821.056/2001;3
821.056/2002;5
821.056/2003;5
821.056/2008;6
821.056/2009;50
821.056/2010;50
821.056/2011;5
821.056/2012;3
821.056/2013;3
821.056/2014;3
821.056/2015;3
821.057/2000;6
821.057/2001;50
821.057/2002;3
821.057/2003;6
821.057/2008;5
821.057/2009;50
821.057/2010;50
821.057/2011;3
821.057/2012;5
821.057/2013;3
821.057/2014;3
821.057/2015;3
821.058/2000;3
821.058/2001;50
821.058/2002;5
821.058/2003;1
821.058/2008;3
821.058/2009;50
821.058/2010;5
821.058/2011;3
821.058/2012;5
821.058/2013;3
821.058/2014;3
821.058/2015;3
821.059/2000;3
821.059/2001;3
821.059/2002;6
821.059/2003;5
821.059/2008;5
821.059/2009;50
821.059/2010;5
821.059/2011;3
821.059/2012;3
821.059/2013;3
821.059/2014;6
821.059/2015;3
821.060/2000;3
821.060/2001;3
821.060/2002;50
821.060/2003;5
821.060/2008;3
821.060/2009;50
821.060/2010;3
821.060/2011;3
821.060/2012;3
821.060/2013;3
821.060/2014;50
821.060/2015;3
821.061/2000;3
821.061/2001;6
821.061/2002;6
821.061/2003;1
821.061/2008;3
821.061/2009;50
821.061/2010;3
821.061/2011;3
821.061/2012;50
821.061/2013;3
821.061/2014;50
821.061/2015;3
821.062/2000;5
821.062/2001;6
821.062/2002;6
821.062/2003;3
821.062/2008;3
821.062/2009;50
821.062/2010;3
821.062/2011;3
821.062/2012;50
821.062/2013;3
821.062/2014;3
821.062/2015;3
821.063/1997;6
821.063/2000;50
821.063/2001;5
821.063/2002;3
821.063/2003;3
821.063/2008;3
821.063/2009;50
821.063/2010;3
821.063/2011;3
821.063/2012;50
821.063/2013;3
821.063/2014;3
821.063/2015;3
821.064/2000;50
821.064/2001;3
821.064/2002;5
821.064/2003;6
821.064/2008;3
821.064/2009;50
821.064/2010;3
821.064/2011;3
821.064/2012;3
821.064/2013;3
821.064/2014;3
821.064/2015;3
821.065/2000;50
821.065/2001;50
821.065/2002;6
821.065/2003;6
821.065/2008;3
821.065/2009;50
821.065/2010;3
821.065/2011;3
821.065/2012;3
821.065/2013;3
821.065/2014;3
821.065/2015;5
821.066/2000;50
821.066/2001;3
821.066/2002;3
821.066/2003;3
821.066/2008;3
821.066/2009;50
821.066/2010;50
821.066/2011;3
821.066/2012;5
821.066/2013;3
821.066/2014;3
821.066/2015;5
821.067/1999;5
821.067/2000;50
821.067/2001;3
821.067/2002;5
821.067/2003;6
821.067/2008;3
821.067/2009;50
821.067/2010;3
821.067/2011;3
821.067/2012;5
821.067/2013;5
821.067/2014;3
821.067/2015;3
821.068/2000;50
821.068/2001;3
821.068/2002;5
821.068/2003;6
821.068/2008;5
821.068/2009;50
821.068/2010;3
821.068/2011;5
821.068/2012;3
821.068/2013;5
821.068/2014;3
821.068/2015;5
821.069/2000;50
821.069/2001;3
821.069/2002;5
821.069/2003;6
821.069/2008;6
821.069/2009;50
821.069/2010;3
821.069/2011;3
821.069/2012;3
821.069/2013;3
821.069/2014;3
821.069/2015;3
821.070/2000;50
821.070/2001;50
821.070/2002;3
821.070/2003;6
821.070/2008;3
821.070/2009;50
821.070/2010;3
821.070/2011;3
821.070/2012;3
821.070/2013;3
821.070/2014;5
821.070/2015;50
821.071/2000;50
821.071/2001;5
821.071/2002;3
821.071/2003;5
821.071/2008;3
821.071/2009;50
821.071/2010;3
821.071/2011;3
821.071/2012;3
821.071/2013;6
821.071/2014;3
821.071/2015;50
821.072/2000;50
821.072/2001;5
821.072/2002;3
821.072/2003;5
821.072/2008;3
821.072/2009;50
821.072/2010;7
821.072/2011;3
821.072/2012;3
821.072/2013;5
821.072/2014;3
821.072/2015;5
821.073/2000;3
821.073/2001;5
821.073/2002;3
821.073/2003;5
821.073/2008;3
821.073/2009;50
821.073/2010;6
821.073/2011;3
821.073/2012;3
821.073/2013;5
821.073/2014;3
821.073/2015;3
821.074/2000;3
821.074/2001;5
821.074/2002;3
821.074/2003;5
821.074/2008;3
821.074/2009;50
821.074/2010;5
821.074/2011;3
821.074/2012;50
821.074/2013;3
821.074/2014;50
821.074/2015;3
821.075/2000;5
821.075/2001;3
821.075/2002;3
821.075/2003;3
821.075/2008;5
821.075/2009;50
821.075/2010;3
821.075/2011;3
821.075/2012;3
821.075/2013;5
821.075/2014;3
821.075/2015;3
821.076/2000;5
821.076/2001;5
821.076/2002;5
821.076/2003;3
821.076/2008;5
821.076/2009;50
821.076/2010;3
821.076/2011;3
821.076/2012;5
821.076/2013;3
821.076/2014;3
821.076/2015;3
821.077/2000;5
821.077/2001;5
821.077/2002;3
821.077/2003;6
821.077/2008;3
821.077/2009;50
821.077/2010;3
821.077/2011;3
821.077/2012;3
821.077/2013;3
821.077/2014;3
821.077/2015;3
821.078/2000;6
821.078/2001;5
821.078/2002;3
821.078/2003;6
821.078/2008;5
821.078/2009;50
821.078/2010;3
821.078/2011;5
821.078/2012;3
821.078/2013;3
821.078/2014;3
821.078/2015;3
821.079/1999;2
821.079/2000;3
821.079/2001;5
821.079/2002;6
821.079/2003;3
821.079/2008;2
821.079/2009;50
821.079/2010;3
821.079/2011;3
821.079/2012;3
821.079/2013;3
821.079/2014;3
821.079/2015;5
821.080/2000;3
821.080/2000;50
821.080/2001;5
821.080/2002;3
821.080/2003;3
821.080/2008;3
821.080/2009;50
821.080/2010;3
821.080/2011;3
821.080/2012;5
821.080/2013;1
821.080/2014;3
821.080/2015;5
821.081/2000;5
821.081/2001;5
821.081/2002;6
821.081/2003;5
821.081/2008;3
821.081/2009;50
821.081/2010;3
821.081/2011;3
821.081/2012;3
821.081/2013;3
821.081/2014;3
821.081/2015;3
821.082/2000;3
821.082/2001;3
821.082/2002;3
821.082/2003;5
821.082/2008;3
821.082/2009;50
821.082/2010;3
821.082/2011;3
821.082/2012;3
821.082/2013;5
821.082/2014;3
821.082/2015;3
821.083/2000;50
821.083/2001;3
821.083/2002;50
821.083/2003;3
821.083/2008;5
821.083/2009;50
821.083/2010;3
821.083/2011;5
821.083/2012;3
821.083/2013;7
821.083/2014;3
821.083/2015;3
821.084/1999;3
821.084/2000;50
821.084/2001;6
821.084/2002;5
821.084/2003;3
821.084/2008;3
821.084/2009;50
821.084/2010;5
821.084/2011;5
821.084/2012;6
821.084/2013;7
821.084/2014;50
821.084/2015;7
821.085/1999;5
821.085/2000;5
821.085/2001;50
821.085/2002;3
821.085/2003;3
821.085/2008;3
821.085/2009;50
821.085/2010;3
821.085/2011;5
821.085/2012;3
821.085/2013;3
821.085/2014;5
821.085/2015;3
821.086/2000;3
821.086/2001;5
821.086/2002;5
821.086/2008;3
821.086/2009;50
821.086/2010;50
821.086/2011;3
821.086/2012;6
821.086/2013;3
821.086/2014;6
821.086/2015;6
821.087/2000;5
821.087/2001;3
821.087/2002;3
821.087/2008;3
821.087/2009;50
821.087/2010;5
821.087/2011;3
821.087/2012;5
821.087/2013;7
821.087/2014;6
821.087/2015;3
821.088/2000;5
821.088/2001;5
821.088/2002;6
821.088/2008;6
821.088/2009;50
821.088/2010;5
821.088/2011;3
821.088/2012;6
821.088/2013;3
821.088/2014;3
821.088/2015;3
821.089/1999;5
821.089/2000;3
821.089/2001;1
821.089/2002;3
821.089/2008;5
821.089/2009;50
821.089/2010;5
821.089/2011;3
821.089/2012;7
821.089/2013;3
821.089/2014;3
821.089/2015;6
821.090/2000;6
821.090/2001;3
821.090/2002;3
821.090/2008;5
821.090/2009;50
821.090/2010;5
821.090/2011;3
821.090/2012;3
821.090/2013;7
821.090/2014;3
821.090/2015;5
821.091/2000;3
821.091/2001;3
821.091/2002;3
821.091/2008;5
821.091/2009;50
821.091/2010;3
821.091/2011;3
821.091/2012;7
821.091/2013;3
821.091/2014;3
821.091/2015;3
821.092/2000;3
821.092/2001;5
821.092/2002;3
821.092/2008;5
821.092/2009;50
821.092/2010;6
821.092/2011;3
821.092/2012;3
821.092/2013;3
821.092/2014;3
821.092/2015;5
821.093/2000;3
821.093/2001;6
821.093/2002;6
821.093/2008;6
821.093/2009;50
821.093/2010;3
821.093/2011;3
821.093/2012;3
821.093/2013;50
821.093/2014;3
821.093/2015;5
821.094/2000;3
821.094/2001;3
821.094/2002;3
821.094/2008;3
821.094/2009;50
821.094/2010;5
821.094/2011;3
821.094/2012;50
821.094/2013;7
821.094/2014;3
821.094/2015;6
821.095/2000;3
821.095/2001;3
821.095/2002;3
821.095/2008;7
821.095/2009;50
821.095/2010;3
821.095/2011;3
821.095/2012;3
821.095/2013;3
821.095/2014;5
821.095/2015;6
821.096/2000;50
821.096/2001;3
821.096/2002;3
821.096/2008;1
821.096/2009;50
821.096/2010;3
821.096/2011;3
821.096/2012;3
821.096/2013;3
821.096/2014;2
821.096/2015;5
821.097/2000;50
821.097/2001;50
821.097/2002;3
821.097/2008;50
821.097/2009;50
821.097/2010;3
821.097/2011;3
821.097/2012;3
821.097/2013;50
821.097/2014;5
821.097/2015;3
821.098/2000;50
821.098/2001;3
821.098/2002;3
821.098/2008;3
821.098/2009;50
821.098/2010;3
821.098/2011;3
821.098/2012;5
821.098/2013;5
821.098/2014;3
821.098/2015;3
821.099/2000;6
821.099/2001;3
821.099/2002;50
821.099/2008;5
821.099/2009;50
821.099/2010;3
821.099/2011;3
821.099/2012;3
821.099/2013;3
821.099/2014;3
821.099/2015;3
821.100/2000;5
821.100/2001;3
821.100/2002;3
821.100/2008;3
821.100/2009;50
821.100/2010;3
821.100/2011;3
821.100/2012;3
821.100/2013;50
821.100/2014;50
821.100/2015;3
821.101/2000;3
821.101/2001;3
821.101/2002;5
821.101/2008;5
821.101/2009;50
821.101/2010;3
821.101/2011;3
821.101/2012;5
821.101/2013;3
821.101/2014;50
821.101/2015;3
821.102/2000;3
821.102/2001;5
821.102/2002;3
821.102/2008;5
821.102/2009;50
821.102/2010;3
821.102/2011;3
821.102/2012;3
821.102/2013;3
821.102/2014;3
821.102/2015;3
821.103/1999;5
821.103/2000;3
821.103/2001;5
821.103/2002;5
821.103/2008;3
821.103/2009;50
821.103/2010;1
821.103/2011;3
821.103/2012;3
821.103/2013;3
821.103/2014;1
821.103/2015;5
821.104/2000;5
821.104/2001;3
821.104/2002;6
821.104/2008;3
821.104/2009;50
821.104/2010;3
821.104/2011;5
821.104/2012;3
821.104/2013;50
821.104/2014;3
821.104/2015;6
821.105/2000;5
821.105/2001;5
821.105/2002;6
821.105/2008;3
821.105/2009;50
821.105/2010;5
821.105/2011;5
821.105/2012;1
821.105/2013;7
821.105/2014;3
821.105/2015;3
821.106/2000;3
821.106/2001;5
821.106/2002;3
821.106/2008;3
821.106/2009;50
821.106/2010;3
821.106/2011;5
821.106/2012;6
821.106/2013;3
821.106/2014;3
821.106/2015;3
821.107/2000;3
821.107/2001;3
821.107/2002;3
821.107/2008;5
821.107/2009;50
821.107/2010;5
821.107/2011;6
821.107/2012;5
821.107/2013;5
821.107/2014;3
821.107/2015;3
821.108/2000;3
821.108/2001;6
821.108/2002;6
821.108/2008;7
821.108/2009;50
821.108/2010;3
821.108/2011;3
821.108/2012;3
821.108/2013;3
821.108/2014;3
821.108/2015;3
821.109/2000;3
821.109/2001;3
821.109/2002;5
821.109/2008;7
821.109/2009;50
821.109/2010;5
821.109/2011;3
821.109/2012;3
821.109/2013;3
821.109/2014;3
821.109/2015;3
821.110/2000;3
821.110/2001;3
821.110/2008;5
821.110/2009;50
821.110/2010;3
821.110/2011;3
821.110/2012;3
821.110/2013;3
821.110/2014;3
821.110/2015;3
821.111/2000;5
821.111/2001;6
821.111/2002;5
821.111/2008;5
821.111/2009;50
821.111/2010;3
821.111/2011;3
821.111/2012;3
821.111/2013;3
821.111/2014;6
821.111/2015;3
821.112/2000;50
821.112/2001;3
821.112/2002;5
821.112/2008;50
821.112/2009;50
821.112/2010;3
821.112/2011;3
821.112/2012;3
821.112/2013;3
821.112/2014;3
821.112/2015;3
821.113/2000;5
821.113/2001;3
821.113/2002;5
821.113/2008;50
821.113/2009;50
821.113/2010;3
821.113/2011;3
821.113/2012;3
821.113/2013;3
821.113/2014;7
821.113/2015;3
821.114/2000;3
821.114/2001;3
821.114/2002;3
821.114/2008;50
821.114/2009;50
821.114/2010;3
821.114/2011;3
821.114/2012;6
821.114/2013;50
821.114/2014;7
821.114/2015;3
821.115/2000;5
821.115/2001;3
821.115/2008;50
821.115/2009;50
821.115/2010;3
821.115/2011;3
821.115/2012;5
821.115/2013;6
821.115/2014;7
821.115/2015;5
821.116/2000;3
821.116/2001;5
821.116/2002;3
821.116/2008;3
821.116/2009;50
821.116/2010;3
821.116/2011;6
821.116/2012;3
821.116/2013;3
821.116/2014;3
821.116/2015;5
821.117/2000;3
821.117/2001;5
821.117/2002;3
821.117/2008;7
821.117/2009;50
821.117/2010;3
821.117/2011;6
821.117/2012;3
821.117/2013;6
821.117/2014;3
821.117/2015;5
821.118/2000;5
821.118/2001;3
821.118/2002;3
821.118/2008;7
821.118/2009;50
821.118/2010;3
821.118/2011;5
821.118/2012;1
821.118/2013;3
821.118/2014;3
821.118/2015;3
821.119/2000;3
821.119/2001;5
821.119/2002;3
821.119/2008;5
821.119/2009;50
821.119/2010;5
821.119/2011;50
821.119/2012;3
821.119/2013;3
821.119/2014;5
821.119/2015;3
821.120/1998;6
821.120/2000;3
821.120/2001;3
821.120/2002;3
821.120/2008;5
821.120/2009;50
821.120/2010;5
821.120/2011;50
821.120/2012;3
821.120/2013;3
821.120/2014;5
821.120/2015;3
821.121/1998;3
821.121/2000;3
821.121/2001;3
821.121/2002;3
821.121/2008;3
821.121/2009;50
821.121/2010;50
821.121/2011;6
821.121/2012;3
821.121/2013;1
821.121/2014;3
821.121/2015;3
821.122/1998;3
821.122/2000;3
821.122/2001;3
821.122/2002;3
821.122/2008;3
821.122/2009;50
821.122/2010;5
821.122/2011;1
821.122/2012;3
821.122/2013;3
821.122/2014;3
821.122/2015;5
821.123/1998;3
821.123/2000;3
821.123/2001;3
821.123/2002;3
821.123/2008;3
821.123/2009;50
821.123/2010;3
821.123/2011;3
821.123/2012;3
821.123/2013;5
821.123/2014;3
821.123/2015;3
821.124/2000;3
821.124/2001;3
821.124/2002;5
821.124/2008;3
821.124/2009;50
821.124/2010;3
821.124/2011;3
821.124/2012;3
821.124/2013;3
821.124/2014;3
821.124/2015;3
821.124/2015;50
821.125/2000;50
821.125/2001;50
821.125/2002;3
821.125/2008;3
821.125/2009;50
821.125/2010;3
821.125/2011;3
821.125/2012;3
821.125/2013;6
821.125/2014;5
821.125/2015;3
821.126/2000;5
821.126/2001;50
821.126/2002;50
821.126/2008;3
821.126/2009;50
821.126/2010;3
821.126/2011;3
821.126/2012;3
821.126/2013;6
821.126/2014;3
821.126/2015;50
821.127/2000;5
821.127/2001;5
821.127/2002;3
821.127/2008;3
821.127/2009;50
821.127/2010;3
821.127/2011;6
821.127/2012;3
821.127/2013;3
821.127/2014;3
821.127/2015;50
821.128/2000;5
821.128/2001;6
821.128/2002;3
821.128/2008;3
821.128/2009;50
821.128/2010;50
821.128/2011;50
821.128/2012;3
821.128/2013;3
821.128/2014;3
821.128/2015;50
821.129/2000;3
821.129/2001;3
821.129/2002;3
821.129/2008;3
821.129/2009;50
821.129/2010;3
821.129/2011;3
821.129/2012;7
821.129/2013;3
821.129/2014;3
821.129/2015;50
821.130/2000;3
821.130/2001;5
821.130/2002;5
821.130/2008;3
821.130/2009;50
821.130/2010;6
821.130/2011;3
821.130/2012;50
821.130/2013;5
821.130/2014;3
821.130/2015;3
821.131/2000;6
821.131/2001;5
821.131/2002;6
821.131/2008;3
821.131/2009;50
821.131/2010;3
821.131/2011;3
821.131/2012;50
821.131/2013;3
821.131/2014;3
821.131/2015;3
821.132/2000;6
821.132/2001;6
821.132/2002;3
821.132/2008;3
821.132/2009;50
821.132/2010;3
821.132/2011;3
821.132/2012;3
821.132/2013;6
821.132/2014;3
821.132/2015;3
821.133/2000;6
821.133/2001;5
821.133/2002;3
821.133/2008;5
821.133/2009;50
821.133/2010;3
821.133/2011;6
821.133/2012;3
821.133/2013;50
821.133/2014;3
821.133/2015;3
821.134/2000;5
821.134/2001;3
821.134/2002;3
821.134/2008;6
821.134/2009;50
821.134/2010;3
821.134/2011;6
821.134/2012;50
821.134/2013;50
821.134/2014;3
821.134/2015;3
821.135/2000;5
821.135/2001;6
821.135/2002;3
821.135/2008;7
821.135/2009;50
821.135/2010;7
821.135/2011;3
821.135/2012;3
821.135/2013;50
821.135/2014;3
821.135/2015;3
821.136/2000;6
821.136/2001;3
821.136/2002;3
821.136/2008;3
821.136/2009;50
821.136/2010;7
821.136/2011;3
821.136/2012;3
821.136/2013;3
821.136/2014;6
821.136/2015;3
821.137/2000;6
821.137/2002;3
821.137/2008;7
