DSProcesso;IDCondicaoPropriedadeSolo
650.256/1999;5
650.257/1999;5
650.258/1999;5
650.259/1999;5
650.260/1999;5
650.261/1999;5
650.262/1999;5
650.263/1999;5
650.264/1999;5
650.265/1999;5
650.266/1999;5
650.267/1999;5
650.268/1999;5
650.269/1999;5
650.270/1999;5
650.271/1999;5
650.272/1999;5
650.273/1999;5
650.274/1999;5
650.275/1999;5
650.276/1999;5
650.277/1999;5
650.278/1999;5
650.279/1999;5
650.280/1999;5
650.281/1999;5
650.282/1999;5
650.283/1999;5
650.284/1999;5
650.285/1999;5
650.286/1999;5
650.287/1999;5
650.288/1999;5
650.289/1999;5
650.290/1999;5
650.291/1999;5
650.292/1999;5
650.293/1999;5
650.294/1999;5
650.295/1999;5
650.296/1999;5
650.297/1999;5
650.298/1999;5
650.299/1999;5
650.300/1999;5
650.301/1999;5
650.302/1999;5
650.303/1999;5
650.304/1999;5
650.305/1999;5
650.306/1999;5
650.307/1999;5
650.308/1999;50
650.309/1999;5
650.310/1999;5
650.311/1999;5
650.312/1999;5
650.313/1999;5
650.314/1999;5
650.315/1999;5
650.316/1999;5
650.317/1999;5
650.318/1999;5
650.319/1999;5
650.320/1999;5
650.321/1999;5
650.322/1999;5
650.323/1999;5
650.324/1999;5
650.325/1999;5
650.326/1999;5
650.327/1999;5
650.328/1999;5
650.329/1999;5
650.330/1999;5
650.331/1999;5
650.332/1999;5
650.333/1999;5
650.334/1999;5
650.335/1999;5
650.336/1999;5
650.337/1999;5
650.338/1999;5
650.339/1999;5
650.340/1999;5
650.341/1999;5
650.342/1999;5
650.343/1999;5
650.344/1999;5
650.345/1999;5
650.346/1999;5
650.347/1999;5
650.348/1999;5
650.349/1999;5
650.350/1999;5
650.351/1999;5
650.352/1999;5
650.353/1999;5
650.354/1999;5
650.355/1999;5
650.356/1999;5
650.357/1999;5
650.358/1999;5
650.359/1999;5
650.360/1999;5
650.361/1999;5
650.362/1999;5
650.363/1999;5
650.364/1999;5
650.365/1999;5
650.366/1999;5
650.367/1999;5
650.368/1999;5
650.369/1999;5
650.370/1999;5
650.371/1999;5
650.372/1999;5
650.373/1999;5
650.374/1999;5
650.375/1999;5
650.376/1999;5
650.377/1999;5
650.378/1999;5
650.379/1999;5
650.380/1999;5
650.381/1999;5
650.382/1999;5
650.383/1999;5
650.384/1999;5
650.385/1999;5
650.386/1999;5
650.387/1999;5
650.388/1999;5
650.389/1999;5
650.390/1999;5
650.391/1999;5
650.392/1999;5
650.393/1999;5
650.394/1999;5
650.395/1999;5
650.396/1999;5
650.397/1999;5
650.398/1999;5
650.399/1999;5
650.400/1999;5
650.401/1999;5
650.402/1999;5
650.403/1999;5
650.404/1999;5
650.405/1999;5
650.406/1999;5
650.407/1999;5
650.408/1999;5
650.409/1999;5
650.410/1999;5
650.411/1999;5
650.412/1999;5
650.413/1999;5
650.414/1999;5
650.415/1999;5
650.416/1999;5
650.417/1999;5
650.418/1999;5
650.419/1999;5
650.420/1999;5
650.421/1999;5
650.422/1999;5
650.423/1999;5
650.424/1999;5
650.425/1999;5
650.426/1999;5
650.427/1999;5
650.428/1999;5
650.429/1999;5
650.430/1999;5
650.431/1999;5
650.432/1999;5
650.433/1999;5
650.434/1999;5
650.435/1999;5
650.436/1999;5
650.437/1999;5
650.438/1999;5
650.439/1999;5
650.440/1999;5
650.441/1999;5
650.442/1999;5
650.443/1999;5
650.444/1999;5
650.445/1999;5
650.446/1999;5
650.447/1999;5
650.448/1999;5
650.449/1999;5
650.450/1999;5
650.451/1999;5
650.452/1999;5
650.453/1999;5
650.454/1999;5
650.455/1999;5
650.456/1999;5
650.457/1999;5
650.458/1999;5
650.459/1999;5
650.460/1999;5
650.461/1999;5
650.462/1999;5
650.463/1999;5
650.464/1999;5
650.465/1999;5
650.466/1999;5
650.467/1999;5
650.468/1999;5
650.469/1999;5
650.470/1999;5
650.471/1999;5
650.472/1999;5
650.473/1999;5
650.474/1999;5
650.475/1999;5
650.476/1999;5
650.477/1999;5
650.478/1999;5
650.479/1999;5
650.480/1999;5
650.481/1999;5
650.482/1999;5
650.483/1999;5
650.484/1999;5
650.485/1999;5
650.486/1999;5
650.487/1999;5
650.488/1999;5
650.489/1999;5
650.490/1999;5
650.491/1999;5
650.492/1999;5
650.493/1999;5
650.494/1999;5
650.495/1999;5
650.496/1999;5
650.497/1999;5
650.498/1999;5
650.499/1999;5
650.500/1999;5
650.501/1999;5
650.502/1999;5
650.503/1999;5
650.504/1999;5
650.505/1999;5
650.506/1999;5
650.507/1999;5
650.508/1999;5
650.509/1999;5
650.510/1999;5
650.511/1999;5
650.512/1999;5
650.513/1999;5
650.514/1999;5
650.515/1999;5
650.516/1999;5
650.517/1999;5
650.518/1999;5
650.519/1999;5
650.520/1999;5
650.521/1999;5
650.522/1999;5
650.523/1999;5
650.524/1999;5
650.525/1999;5
650.526/1999;5
650.527/1999;5
650.528/1999;5
650.529/1999;5
650.530/1999;5
650.531/1999;5
650.532/1999;5
650.533/1999;5
650.534/1999;5
650.535/1999;5
650.536/1999;5
650.537/1999;5
650.538/1999;5
650.539/1999;5
650.540/1999;5
650.541/1999;5
650.542/1999;5
650.543/1999;5
650.544/1999;5
650.545/1999;5
650.546/1999;5
650.547/1999;5
650.548/1999;5
650.549/1999;5
650.550/1999;5
650.551/1999;5
650.552/1999;5
650.553/1999;5
650.554/1999;5
650.555/1999;5
650.556/1999;5
650.557/1999;5
650.558/1999;5
650.559/1999;5
650.560/1999;5
650.561/1999;5
650.562/1999;5
650.563/1999;5
650.564/1999;5
650.565/1999;5
650.566/1999;5
650.567/1999;5
650.568/1999;5
650.569/1999;5
650.570/1999;5
650.571/1999;5
650.572/1999;5
650.573/1999;5
650.574/1999;5
650.575/1999;5
650.576/1999;5
650.577/1999;5
650.578/1999;5
650.579/1999;5
650.580/1999;5
650.581/1999;5
650.582/1999;5
650.583/1999;5
650.584/1999;5
650.585/1999;5
650.586/1999;5
650.587/1999;5
650.588/1999;5
650.589/1999;5
650.590/1999;5
650.591/1999;5
650.592/1999;5
650.593/1999;5
650.594/1999;5
650.595/1999;5
650.596/1999;5
650.597/1999;5
650.598/1999;5
650.599/1999;5
650.600/1999;5
650.601/1999;5
650.602/1999;5
650.603/1999;5
650.604/1999;5
650.605/1999;5
650.606/1999;5
650.607/1999;5
650.608/1999;5
650.609/1999;5
650.610/1999;5
650.611/1999;5
650.612/1999;5
650.613/1999;5
650.614/1999;5
650.615/1999;5
650.616/1999;5
650.617/1999;5
650.618/1999;5
650.619/1999;5
650.620/1999;5
650.621/1999;5
650.622/1999;5
650.623/1999;5
650.624/1999;5
650.625/1999;5
650.626/1999;5
650.627/1999;5
650.628/1999;5
650.629/1999;5
650.630/1999;5
650.631/1999;5
650.632/1999;5
650.633/1999;5
650.634/1999;5
